doc_key,processed_entities,output_tokens
168,distortion; suppression; homeland; ensure; government; 21 Jan 2014; elected officials; Step; Our; Step; kleptocracy; Maha Salo; Homeland Illumination; silence; Imperialist activities; Taking; foreign corporations; ignorance; steps; First; VOICES; Back; people; Country; This; Kronos; voice; actions; Entities Output: This; Toward,512
169,talking; announcements; what is important; building; GAStech headquarters; officials; Homeland Illumination; VOICES; Maha Salo; events; fire officials; people; a blog,46
170,police vehicles; 20 January 2014; each; Maha Salo; Homeland Illumination; policemen; inside; sirens; two; no lights; VOICES; two; just; lights; left; Two; GAStech headquarters; 20 Jan 2014; a blog,256
171,GAStech; Abila airport; GAS; GAStech executives; private jet; breaking news; spoke; Homeland Illumination; airport official; reports; Petrus Gerhard; passengers; confirmed,256
172,Government; Contaminated water; Birthday; POK rally; Children; police; Elodis; Manacled; Clean up; Water; Lifted wrists; Lifted; Karel; President; Minister of Justice; jail food; Gas drilling; Elian Karel; money; Led; Rural township; GAStech; Bottled water; Kronos; Protectors of Kronos; Community; Demonstrating; Humor; Supporters; Michale Kraft; Joked,292
173,17. Home; 30. Home; 32. Home; 20. Home; 38. Home; 35. Home; 11. Death; POK; 21. Home; 23. Home; 3. Protectors of Kronos (POK); 18. Home; 36. Home; 9. Good health; 50. Home; 42. Home; 5. Juliana Vann; 15. Home; 44. Home; 55. Home; 43. Home; 31. Home; 56. Home; 33. Home; 41. Home; Elodis; 53. Home; pollution; 28. Home; deaths; 13. Upstream; 27. Home; 26. Home; 47. Home; 4. Carmine Osvaldo; 46. Home; 45. Home; 40. Home; 24. Home; 39. Home; 49. Home; 25. Home; 34. Home; 10. Children; 12. Leukemia; 6. Benzene poisoning; 1. Homeland Illumination; 16. Home; 22. Home; 37. Home; 19. Home; 7. Gas drilling operations; 51. Home; 14. Home; sickness; 54. Home; local residents; 29. Home; 8. Clean water; 48. Home; Elodis water supply; 52. Home; 57,286
174,bomb squad; building; 20 January 2014; Maha Salo; Homeland Illumination; signs; appear; The building; VOICES; trouble; fire department; haven't seen; seen; appeared; bomb threat; searched; signs of trouble; confirmed; a blog,256
175,GAStech; GAStech employees; country; GAStech executives; firemen; fire drill; GAStech headquarters; Maha Salo; Homeland Illumination; VOICES; people; important; blog; 20 Jan 2014,50
176,"xylene; scientific analysis; environment; irrigation; Caught up; multinational corporations; toluene; Water specialist; Next day; Southeast Asia; Healthy water; a few; Mission; selenium; a few hectares; profits; lunch; government malfeasance; May 15, 1998; groundwater contamination; Mr. Henk Bodrogi; Hank Fluss; government officials; 200 years; Elodis; Communities; prodded; gas company; residents of Elodis; good; Wellness For All; Pondo Reese; Oil and gas development; cleanup efforts; families; GAStech; crops; natural; community leaders; drinking water; kids; soybeans; Busy; Ferro Hardware store; wiry farmer; a bit more; chores; Tiskele River; Distressed; residents of Elodis; Natural disasters; town; Kronos; Kronesian community; school; Henk Bodrogi; worship days; Drought; fields; dinner; Wellness for All; busy; tractor; Representative; Sten Sanjorge, Jr.; Sanjorge; equipment.; community anguish; sun up; International agency; acreage; arsenic; wife; benzene; official public document; lead; generations",913
177,GAStech-Tethys; GAStech employees; missing,16
178,turnout gear; flame; GAStech building; officials; firemen; dozen; questions; Maha Salo; Homeland Illumination; VOICES; smoke; 20 Jan 2014; evacuation,50
179,GAStech; Voices; GAStech employees; Abila airport; missing GAStech employees; missing; CEO Sten Sanjorge; private jets; 21 Jan 2014; Maha Salo; passengers; Tethys; GAStech spokesman,256
180,Voices; what is important; fire department; Homeland Illumination; Maha Salo; fire; smoke; people; have just arrived; 20 Jan 2014; a blog,39
181,credible information; 20 Jan 2014; department; Kronos; persons of interest; missing individuals; caterers; Kronos police spokesman; island of Kronos; comment,36
182,what is important; Homeland Illumination; coming soon; important announcement; correspondent; Homeland Illumination; VOICES; Maha Salo; Petrus Gerhard; 21 Jan 2014; people; breaking news; readers; alert; a blog,256
183,GAStech; police; news conference; minutes ago; missing; ten; identified; employees; Abila; revised; number,256
184,not GAStech; eight persons; Airport officials; delegation; departure times; officials; private company; not confirmed; destination; Maha Salo; Homeland Illumination; 20 January 2014; VOICES; private jets; confirmed,256
185,hullaballoo; access; building; questions; 20 January 2014; police; breakfast; VIPs; Maha Salo; Homeland Illumination; big meeting; fancy catered breakfast; meeting; Another employee; nonemployees; morning; VOICES; fancy; police,256
186,GAStech; country; Kronos officials; Kronos; GAStech executives; speculation; fortune; money; 20 Jan 2014,53
187,lights; Interesting developments; sirens; Maha Salo; Homeland Illumination; 20 January 2014; VOICES; two police squad cars; a blog,37
188,gas drilling operations; toxic chemicals; water supply; public health; chronic illness; report; Wellness for All; Elodis; water quality; medical record; acetic anhydride; elevated amounts; citizens of Elodis; chlorine dioxide; investigating; full report; arsenic; Kronos; persons younger than 30; benzene; Wellness for All website,256
189,Events; Protest; Road; Peacefully; POK; Arguments; Remember Juliana!; Poison; Abila-; Government vehicles; Bystanders; Sequence; five activists; Witness; Demonstration; Elodis; Homeland Illumination; Abila; POK guys; Tiskele Bend fields; Tiskele River; Windows; GAStech company vehicles; Government of Kronos; Protesters; GAStech drivers; Strong arm; Griffith Mabel; Elodis jail; Confusing; Charley Normand; GAStech; No more poison!; Drivers; Juliana; Protectors of Kronos; Kronos; three parties; Kronos police; Chanting; Residents of Elodis,406
190,Sanjorge; Sanjorge,256
191,Fatboy Slim; tax incentives; infrastructure; Primrose Hill; The Road to Ruin; cheap energy; everyday Kronosians; Beverley Martyn; education; ABILA; Island Records; same way; President Luis Araullo; calls; state coffers; utilities; roads; Minister of the Interior; Palookaville; healthcare; 14; Martyn; President; Danny Thompson; jobs; John; Road to Ruin; improvements; lands; same way; money; measure; foreign investment; first payment; foreign company; landmark; Kronos; offices; offices; Tomas Sarto; opposed; 86-14 vote; bettering the people,480
192,Abila Hospital; Valeria Edris; truck driver; full investigation; Elodis; Maha Salo; Marcellus Edris; Commissioner Koppolis; investigation; Celia Edris; GAStech Truck; Carmine Edris; Adian Koppolis; Kronos; stop sign; 25-year old driver; intersection; Elodis police; Koppolis; right of way,95
193,kids; litre of milk; soybeans; small farms; Sten Sanjorge Sr; Hank Fluss; Financial scandals; Marginal role; Wildcat drilling; April 25; Early grave; city; land; Elodis; developed.; tractor; GAStech International; crop production; café; grandfather; future; gas station; and two-story houses; main street; father; families; Environmental disasters; Sten Sanjorge Jr; two markets; Henk Bodrogi; Osvaldo hardware store; one; mail; population; Tethys; two hardware stores; lunch; good living; generations,197
194,Press; GAStech executives; Sanjorge; Maha Salo; Homeland Illumination; VOICES; 20 January 2014; Correspondent Gerhard; a blog,40
195,man; GAStech; police; missing employees; black government sedan; doors; suit; entering; word; Maha Salo; Homeland Illumination; VOICES; headquarters; 20 Jan 2014; a blog,45
196,Kriste Brontes; Tethyn company GAStech; POK; Juliana Vann; changes; Abila City Prison; March; Elodis; rally; toxin poisoning; Karel; fraudulent tax evasion charges; Minister of Justice; illegal dumping; Elian Karel; President's office; Protectors of Kronos; Chief of Police; Michale Kraft; March 12; Michale Kraft,315
197,shouldn't say anything else; didn't recognize; exiting; something; 20 January 2014; asked; unusual; told; kidnappers; police; didn't get really close; through; caught up; not talk to anyone.; Homeland Illumination; Maha Salo; everyone; area; questioning; what is important; employee; people; only saw; glass elevator; could have been; Voices; saw; second floor; worked; a blog,101
198,Chronic illness; Kronos; Wellness for All; Municipal website; Elodis; Full report; Homeland Illumination; Mortality rate; Incidence,35
199,GAStech; Abila Police; 14; Kronos; 10:15; GAStech-Kronos; Tethys,256
200,grassroots effort; Udawalawe Reservoir; Fatboy Slim; The Road to Ruin; POK; Primrose Hill; government; foreign gas operations; Beverley Martyn; Island Records; Uva Provinces; Sri Lanka; transparency; Abila City park; John; foreign companies; government transparency; Udawalawe National Park; calls; taxes; accountability; Palookaville; Martyn; 30 June 1972; Karel; Abila General Hospital; corporations; Danny Thompson; clean water; POK campaign; Road to Ruin; Elian Karel; money; President's office; Sabaragamuwa; Kronos; Walawe River; Colombo; profits; Henk Bodrogi,601
201,Waiting limousine; Private jet; Departed into; Directly; Abila Police Headquarters; Departed; Homeland Illumination; Petrus Gerhard; Limousine; Passengers; Followed; Tethys; Gerhard; 20 Jan 2014,66
202,"sudden cardiac arrest; lacerations; Transparency; abrasions; brighter future; Police; Murder; July 2010; provided witness testimony; ABILA; death; Wrongful death; Incite; blunt force trauma; signs; Homeland Illumination; City officials; Violence; Demand; Cry; countrymen; Elian!; tax fraud; apathetic guards; Instability; early morning hours; Karel; Public places; cold, cement prison; Contaminated; Abila City Coroner; Kronosian natural resources; investigation; Government business; body; investigation; Elian Karel; young man; witness testimony; unnamed sources; Accusations; official cause of death; Foreign companies; Justice; closed; Kronos; Protectors of Kronos; Mission; Mass; Supporters; Juliana!; 19 June 2010; POK rabble-rousers",280
203,Abila airport; private jet; Homeland Illumination; Petrus Gerhard; Abila; limousine; 20 Jan 2014,28
204,second private jet; just hours ago; Abila airport; unknown; 20 Jan 2014; Homeland Illumination; Petrus Gerhard; passengers; identity; 20 Jan 2014,148
205,speculating; GAStech; motive; media outlets; executive breakfast; newfound wealth; locate; employees; Maha Salo; Homeland Illumination; 20 January 2014; VOICES; caterers; kidnapped; 20 Jan 2014,52
206,GAStech; Media reports; mystery jet; earlier today; departed; departed; passengers; identity; kidnapped; Abila Airport,256
207,Crack; GAStech; Benefit; Natural resources; Development; Protectors of Kronos; 2001/08/31; ABILA; Kronos; Adrien Carman; Growth; Government vehicle; People; Economic growth; Violence; Juliana Vann; Tiskele Bend fields; Window,306
208,"Government; Foreign Investment; Infrastructure Development; President Araullo; Kronos; 20 Years; Energy Development Companies; Tiskele Bend Fields; 5,000 High Paying Jobs; Tax Incentives",44
209,Police; GAStech; Rhetoric; Violent; Years; Kidnapping; GAStech Employees; Tethyn; POK; Abila; Criminal; Anarchist; Actions; Press Conference,51
210,GAStech; GAStech employees; Edvard Vann; Kronos; family name; Tethyn Ministry of Foreign; Tethyn; 2014/01/20; Abila police; POK; POK members; Tethyn federal law enforcement; Abila police headquarters; Abila,256
211,Kronos; Police spokesman Adrien Carmen; Police patrol officers; Spray-painted; Bashed; POK; Two patrol officers; Ambushed; Serious crimes; Government property; Abila; POK logos; Defaced,51
212,Officers; Protests; Property; POK; Pepper spray; Juliana Vann; Protestors; Police; Abila; Government security forces; Windows; Police vehicles; Water cannons; Rubber bullets; International News; Elian Karel; Capitol building; Heroic efforts; Riot; Tear gas; Speeches; Chanting,69
213,arrested; quickly moved in; Government Property; Truck Drivers; Protestors; Tiskele Bend Fields; Police; POK protesters; Lawful Commercial Traffic; Truck Drivers; Temperatures; Traffic; situation; violence; Drivers; Second Hour; escalated; Congregate; Police officers,512
214,Sten Sanjorge Jr.; GAStech; Kap; President and CEO; Abila General Hospital; Paved highways; President; Rufus Drymiau; Kapelou; Schools,256
215,building; conference facilities; engineers; attended; beautiful; celebration; President Sten Sanjorge Jr.; Sanjorge's commitment; ample office space; ABILA; steel; provides; Sanjorge; glass; said; citizens; geologists; state-of-the-art; future; support staff; regional managers; Kronos; Minister Sarto,256
216,Government; Press; Public Threat; Clashes with the Police; Statement to the Press; Government Spokesman; Opportunistic Vandalism; POK; Government Spokesman; Rufus Drymiau; Violent Demonstrations,256
217,foreign investment; trauma and burn care units; President Araullo; ultra-modern surgical suites; lifestyle.; Abila General Hospital; Torsten Trucco; emergency services area; funding; upgrade; standard of living; projects; strategy; courting; psychiatric care wing,60
218,Clean Water Projects; Cesare Nespola; Health Care; 2001/03/18; Kronos; ABILA; Rural Areas; Funds; President Kapelou's Office; Gas and Oil Taxes; Restructure; Health Education; Minister of Health; Rural Health Projects; Current Gas and Oil Taxes,70
219,Reception; GAStech; Kapelou; Corporate meeting; GAStech headquarters; Abila; Sanjorge Jr.; Kapelou; Tethys; President Kapelou; Capitol Building,256
220,Rufus Drymia; POK rally; GAStech regional headquarters; slogans; GAStech employees; Pattern; doors; environmental damage; Rufus Drymiau; Concerned; signs; Abila; foreign corporations; Today; Adrien Carman; Tactics; visages; environmental contamination; people; GAStech; Some time; Aggressive; Government spokesman; Kronos; Protectors of Kronos; chained themselves; work.; Protectors of Kronos (POK); Police spokesman; two hundred people,317
221,thugs; maximum police force.; peaceful way of life; gang of criminals; Elodis; POK; police patrols; malcontents; Elodis area; President Kapelou; future POK demonstrations,46
222,Six POK members; Bottles; Civil authorities; Protests; Assault; POK; Charges; Gash; Juliana Vann; Marek; Police; ABILA; Demonstration; Violence; Elian Karel; Signs; Movement; Insults; Crowd; Summer; Kronos; Tear gas; Rocks; Abila police headquarters; Popular figurehead; Bullhorns; Police officers,231
223,GAStech; Ministry of Interior; Kronos; Tiskele Bend; Minister Sarto; Tiskele Bend; Tiskele Bend gas fields,256
224,Cesare Nespola; Health care; Health education; Kronos; 1999/07/04; ABILA; Additional taxes; Clean water projects; Rural areas; 10%,45
225,released; tax evasion; week's end; police; nation.; custody; meeting; welfare; Karel; 2009/03/12; lawyer; statement; interests; Elian Karel; people; supporters; false; Protectors of Kronos; Kronos; Michale Kraft,60
226,Police; Government Buildings; Tear Gas; Police Vehicles; Pepper Spray; Trash; Beanbags; Injuries; Riot; Protesters; Water Cannons; Broken Glass; Protestor; Shotguns; Police Officer,44
227,"Kronosian government; medical care; pipeline operations; Sten Sanjorge, Jr; Locations; food; environmentally harmful; reputation; Mediterranean region; pumped; rest; Distinct ways; eastern Kronos; Oil and gas sites; gas; corrupt; west; Black Sea resorts; eastern gas fields; supplying gas; Kronosian regions; Private fleet; international investors; relationship; heart; Move in and out; Employees; executives; medical and therapy centre; profitable business; cows; holidays; Far-off places; GAStech; Kronos; Infrastructure; Europe.; TV station; Company towns; pigs; gyms; Tethys; entertainment; unbiased.; Planes",369
228,$20 Million; American; Sten Sanjorge Jr; Orhan Strum; Tethys; Protectors of Kronos; fire alarm; Kronos; complete list; Ada Campo-Corrente; Willem Vasco-Pais; board meeting; GASTech; unaccounted-for employees; Ingrid Barranco; John Rathburn; GASTech headquarters; ransom note,328
229,Jecovic; Oil and Gas Kronos; North America; access; state; Oil and gas; Government energy officials; 20 February 2012; Six years ago; capital; International Times; Exploration drilling; equipment; Oil and Gas production costs; K30; Ministry; Norway; Oil and gas fields; 8%; exploration; K17; K17; GAStech; 2011-12; 27%; Kronos fields; 15 wells; 26 wells; Kronos' oil and gas industry,114
230,Kronosian government; unclear; POK; government; things aright; organization; take; clear.; Abila; mantle; strong armed; gone; Karel; supermarket; engagement; now; John; heavy-handed government; Elian Karel; who; island nation; action; environmental activist group; Sten Sanjorge Jr.; growing dissatisfaction; GAStech; action-based organization; Kronos; dissatisfaction; waiting; food prices,551
231,police reinforcements; Udawalawe Reservoir; environmental issues; social equality; POK supporters; violent demonstration; Fatboy Slim; complemented; rallies; The Road to Ruin; POK; emergency law; government; Primrose Hill; shots; prison; younger protestors; Juliana Vann; government change; mysterious death; capital building; Beverley Martyn; presidential homestead; police; breaking up the unruly crowd; Police; Abila police; Uva Provinces; Sri Lanka; Island Records; peaceful demonstration; handling; International Times; unruly; signs; smashing windows; Udawalawe National Park; GAStech international; skirmishes; security forces; gangs of criminals; Palookaville; Martyn; 30 June 1972; industrial giant; Danny Thompson; crowd; Government spokesmen; blocked roads; John; Road to Ruin; Elian Karel; peace; Sabaragamuwa; attacking vehicles; Protectors of Kronos; traffic; Walawe River; Colombo; tear gas; social equality; protesters; minor injuries; Pal,768
232,Tethys; paranoia; suicide rates; Asteria; detergent; Clues; Asterian People's Army; insecticides; 21 October 2013; Loblaw; Cotton Candy; Origin; designer drug; International Times; Designer Drugs; Tulip Blossom; Tethys Counterdrug Team; hallucinations; Tethys public statistics; violent behavior; port officials; Interpol; MDMC; Street Names; Task Force; MD; mental health problems; youth; Spice Dreams; suspicious shipments; Robert Loblaw; appearance; International Countries; Recipe; Pedigree,600
233,Times article; 2 October; Sten Sanjorge; Times; 4 October; GASTech representatives; GASTech,256
234,Malaysia; Lack of funds; Deterring; conflict in Kosovo; food; Food convoys; livelihoods; governments of Malaysia; five missions; vital goods and services; Aid agencies; International Times; Times; Jim Cordon; CARING Singapore; healthcare; Increase; Kosovo; Attacks; FoodSupport; Attacks; 15 million people; mobile medical care; Earthquake victims; fundraising effort; Jayala Mahmed,321
235,Corruption; waste streams; Protests; government; Neglect; Police; police; country; peace.; Situation; Environmental; Abila; protests; terrorist threat; GAStech International; meeting; citizens; Demonstrators; Environmental neglect; Politicians; Dorel Kapelou II; Concern for the people; Rubber bullets; Hope; illnesses; Government buildings; peace; GAStech; Terek Kamal; violence; GAS; Kronos; Legacy; Tear gas; Change; Tethys; leadership,353
236,POK member; Anti-terrorism treaty; POK; Know; Notification; Environmental; Rufus Drymiau; Declaration; Context; Abila; Violence; Times; protests; continue; Police headquarters; State; Escalation; Horrible; Kronos government; Terrorism; Decision; Government spokesman; Crime; Submission; Protectors of Kronos; Kronos; 1998 anti-terrorism treaty; Activists; Nothing; People; Bombing; Tethys,366
237,18 March 2007; International Times,256
238,natural gas; Energy; abundant resources; change; Knowledge; execs; Glasgow; planes; Sten Sanjorge; helicopters; clutter; remote areas; Expertise; cursed; Hank Fluss; Runs Out; Boon; Exploration Company; other places; countries; North Sea; natural resources; city; Downside; City; oil rush; Sanjorge Gas Company; Sanjorge; Former Truck; airport; lessons; Centrum; After; Daily Record; Long; Gas; engineering; Energy Industry; GAStech; local region; execs; difficult surroundings; Cent; Intellectual Property; International Force; blessed; Tethys; Former Trucker; Thethys; Tethan government; expertise,885
239,Seizures; Abila General; authorities; Bianca; synthetic marijuana; Major highway; Police; Media; nickname; Naked man; Designer Drugs; Antonio Arresta; Closely examining; Cause of Death; first-responder; patients; Drug trafficking organizations; Kronos government; K18; Binge; Designer drugs; city region; Region; khat; Tulip Blossom; designer drugs; spike; department; Delusions; K166; emergency medical calls; Elodis; Craving; Abila Fire Department; Chemicals; socio-economic backgrounds; Traditionally; calls; Psychotic behavior; Abila General Hospital; Toxicology Reports; Stores; Kronos National Poison Center; chemical compounds; Euphoria; Political insurgent groups; illegal drugs; active ingredient; Manufacturers; Synthetic Marijuana; Balance; Criminalization; Bizarre; Cooperation; Emergency Department; Crash; city region; Drug trafficking; Controlled substance list; Brain; Herbal therapy; handful; Ill-effects; Spice Dreams; People; violent; Operations; Possible cooperation; Alicia Bianca; Cotton candy; Asterian People's Army; Organized crime; Products; Enforcement agencies; Cotton Candy; Cocaine; carnival treat; Dead-end Road; 54-year-old; Ralf Potter; zero; Online; High; Large income source,925
240,"years; Government; 10 years; licenses; Drilling; European energy; offshore environment; Negotiations; Europe; controversy; Professor Oskar Wertz; try these things out; resources; Offshore; Fossil fuel resources; large numbers; West; offshore development; Communities; controversy; small scale; Sten Sanjorge, Jr.; Environment; Sanjorge; SanJorge; flow; industry; Mediterranean Sea; Tethys University; history; offshore gas; offshore drilling; next decade; exploration; offshore gas; Energy market; Landholders; Environmentalists; Local communities; GAStech; 20, 30, 40 years; Shale gas; see if they work.; process; Kronos; offshore shale gas; development; conventional oil and gas wells; commercial",672
241,break; Crowds; heroic efforts; POK; police vehicles; Tethys corporate capitalism; windows; Chaos; Police line; Juliana Vann; Protestors; rubber bullets; Police; three officers; their; officers; Tempers; Demonstration; water cannons; Government security forces; property; Pictures; despite; pepper spray; Government corruption; crowd; police forces; Elian Karel; Signs; Capitol building; GAStech; protestors; President Dorel Kapelou; Riot; tear gas; injure; Chants; three officers; damage; Kids; efforts,512
242,GAStech; Abila police; Cato Rossini; Abila; 20 January 2014; Update; GAStech Headquarters Building; Emergency; Marcella Trapani; 12:20 PM,256
243,POK; died; slogans; President Kap; Police; GAStech; environmental damage; Rufus Drymiau; Elodis; signs; Abila; foreign corporations; POK rallys; visages; environmental contamination; gas and oil fields; Elian Karel; people; GAStech; Kronos; Protectors of Kronos; Protectors of Kronos (POK); Public; development; Police spokesman Adrien Carman; President Kapelou,512
244,President Sanjorge Jr.; GAStech; Sten Sanjorge Jr.; highways; taxes; Tethys; Abila General Hospital; infrastructure improvements; Rufus Drymiau; taxes; 20th year of cooperation; schools; Tiskele Bend fields; President Kapelou,256
245,Police; Justice; Adrien Carmen; Kronos; Car; Men; Government property; Assault; POK; Spray-painted POK logos; Public; Abila; Patrol officers; Police officer,43
246,17 March 2001; Assembly; allocation; President Kapelou's office; restructure; General Assembly; rural health projects; 23; My office; health education; ABILA; health care; later this year; setback; 10%; funds; clean water projects; current gas and oil taxes; rural areas; Kronos; President Kapelou; revised added tax measure; 77,312
247,Natural resources; Protest; 10 year old; 30 August 2001; Juliana Vann; Activist group; Fossil fuels; ABILA; Tiskele Bend fields; Activists; Carmine Gurganus; Adrien Carman; Environmental concerns; Protesters; Government vehicle; Economic growth; Activist; Signs; Government action; Window; GAStech; Icon; Protectors of Kronos; Kronos; Activists; Death,512
248,Innocent bystanders; Police; Stores; Hooligans; Kronos; Cars; Crowd members; Buildings; Tear gas; Siopa District; Water cannons; Downtown Abila; POK logo; Shop windows,53
249,Police; GAStech; Security Experts; Speculation; GAStech Personnel; Investigation; GAStech Headquarters Building; GAStech Headquarters Building; Tethys; Emergency,256
250,Police Perimeter; Security Official; Updates; Government Car; Inside; Breaking; Cato Rossini; 2:00 PM; Security Official; Occupant; 20 January 2014; Appears; GAStech Headquarters Building; Emergency; Marcella Trapani; Let; Building,256
251,threat; phone; GAStech executives; executives; Cato Rossini; corporate security; kidnapping; GAStech Headquarters Building; kidnapping; capitol building; Marcella Trapani; meeting; reception,256
252,Ministry of Health; Cesare Nespola; President Araullo; Kronos; ABILA; Heart attack; Minister of Health; Tethys Central University; President Kapelou; Vincent Kapelou,46
253,GAStech; GAStech Executive Jet; Airport; GAStech occupants; Cato Rossini; Limousine; GAStech Building; GAStech Headquarters Building; Marcella Trapani,256
254,Allowed; 3:20 PM; GAStech Employees; Leave; Breaking; Cato Rossini; GAStech Employees; 20 January 2014; Update; GAStech Headquarters Building; Emergency; Marcella Trapani; Building,256
255,Police; GAStech employees; Kidnappers; Justice; Government investigators; Cato Rossini; GAStech Headquarters Building; Government official; Marcella Trapani,77
256,Abila police; 7:30 pm##OUTPUTSOURCES:; Cato Rossini; GAStech Headquarters Building; Marcella Trapani; 7:30 pm,143
257,Police; 5 Years; Government; Government Assistance; Protectors of Kronos; Reports; Kidnapping; Employees; POK; Violence; Investigation; GAStech Headquarters Building,38
258,Government Buildings; Crowds; Protests; 20 June 2012; POK; Shotguns; Poor; Kronos Star; Police; Pepper Spray; Crazed Protestor; Abila; Government Corruption; Violence; Broken Glass; Flyers; Police Officer; Security Reasons; Name; Critical Condition; Trash; Abila General Hospital; Protesters; Rich; Tear Gas; Police Vehicles; Beanbags; Riot; Heroic Police Officer; Water Cannons; Vandalized,137
259,GAStech; Supporting; Black; Morning; Inform; Cato Rossini; Headquarters Building; 5:10 PM; People; 20 January 2014; Update; Caterers; GAStech Administrator; Emergency; Present; Marcella Trapani; Executive Meeting,56
260,GAStech employees; GAS; Fire department officials; Cato Rossini; GAStech Headquarters Building; Marcella Trapani; Kronos Star,256
261,Kronos; Police sources; ABILA; Police sources; POK; 7 March 2012; Marcella Trapani; Vincent Kapelou,256
262,investment; Prosperity; Technology; Udawalawe Reservoir; Fatboy Slim; prosperity; culture; The Road to Ruin; commerce; Primrose Hill; Agenda; Children; values; Mental Illness; Beverley Martyn; country; Island Records; Uva Provinces; Sri Lanka; success; Abila; Udawalawe National Park; Progress; industry; Opening; Oppose; Palookaville; Martyn; 30 June 1972; President Araullo; Danny Thompson; Foreigners; opportunity; John; Road to Ruin; people; Country; Experts; Sabaragamuwa; Modernization.; Walawe River; Colombo; diluting; People,290
263,GAStech; GAStech Employees; Black; Cato Rossini; GAStech Employee; GAStech Employees; GAStech Headquarters Building; Emergency; Marcella Trapani,256
264,GAStech; Update; No one else; Answering; 1:50 PM; More; Phone; Cato Rossini; Twenty; Phone numbers; Administrator; Mr. Strum's administrator; 20 January 2014; Mr. Strum; GAStech Headquarters Building; Emergency; Marcella Trapani,256
265,Police; GAStech; Crowd Control Barricades; Cato Rossini; GAStech Headquarters Building; Marcella Trapani; Police Activities,256
266,new hospital; oppose; finally; say; come; port expansion; hope; proud; ABILA; have; so; decades; Thank you; Mr. President; taxes; those; President Araullo; history; Minister Sarto's office; GAStech; foreign investment; senses; Kronos; come; shortsighted; been; Tiskele Bend gas fields; plan,303
267,foreign investment; Paying great dividends; President Araullo; Abila General; Araullo; New hospital; Abila General Hospital; Torsten Trucco; First of many projects; Ab; Abila; New construction; Modernize our lifestyle; Courting foreign investment,512
268,GAStech; GAStech; Cato Rossini; Willem Vasco-Pais; GAStech Headquarters Building; Environmental Safety Advisor; Marcella Trapani,256
269,Sten Sanjorge Jr.; GAStech; Abila International Airport; Tethys,22
270,GAStech; Centrum; Edvard Vann; Tethyn Federal Law Enforcement; Tethyn Ministry of Foreign; Tethyn; POK; Abila; Tethys; Kronos Star,256
271,GSAtech Administrator; Cato Rossini; GSAtech; GSAtech Chief; 20 January 2014; GAStech Headquarters Building; Emergency; Ingrid Barranco; Marcella Trapani,256
272,Kap; GAStech spokesperson; kidnapped; Capitol Building; country; Abila; corporation; Sanjorge; Centrum; resolution; Kapelou; 20th year; families; GAStech; hearts; crisis; GAStech headquarters; cooperation; Tethys; President Kapelou,256
273,Cesare Nespola; health and well-being; advocate; Minister of Health; specialists; Kronos Star; health education; ABILA; bring; doctors; Abila; health care; 10%; citizens; practice medicine; 3 July 1999; oil and gas development; Abila General Hospital; world; clean water projects; rural areas; Donato Petri; financial incentives; qualified physicians; practice medicine,256
274,Police; Cato Rossini; GAStech Headquarters Building; Marcella Trapani; Police,256
275,Officers; POK supporters; hooligans; POK; Juliana Vann; criminals; Abila police; Demonstration; Slogans; Pictures; Abila General Hospital; Adrien Carman; Silvia Marek; POK movement; Bottle; Elian Karel; Signs; Insults; Crowd; Bloody gash; Rocks; Abila police headquarters; Candles; POK movement; Man; Bullhorns,318
276,Police; GAStech employees; Kidnapping; Cato Rossini; GAStech Headquarters Building; GAStech Headquarters Building; Marcella Trapani; Black people,256
277,GAStech; 1:30 PM; Phone; Cato Rossini; Voicemail System; GSAtech; Ada Campo-Corrente; Office; 20 January 2014; Update; Emergency; GSAtech Headquarters Building; Marcella Trapani,62
278,citizens; President Sten Sanjorge Jr.; Kronos; ABILA; future; Minister Sarto; Sanjorge; GAStech international,41
279,GAStech; False Alarm; Report; Building; Employees; GAStech Employees; Cato Rossini; Bomb Threat; GAStech Employees; GAStech Headquarters Building; Emergency; Marcella Trapani; Safe; Kronos Star,256
280,Gang of criminals; Capital; Maximum police force; Riot; Police patrols; Demonstration; Elodis; POK; Thugs; Malcontents; Government sector; Future POK demonstrations; Elodis area; Pestilence; President Kapelou; Peaceful way of life,62
281,Government; Public Threat; Clashes with the Police; Buildings; Plight of the People; Opportunistic Vandalism; POK; Government Spokesman; Rufus Drymiau; Violent Demonstrations; Businesses; Damage; President Kapelou,57
282,Sten Sanjorge Jr.; GAStech; scheduled reception; reporters; Orhan Strum; GAStech executives; Capitol; GAStech President and CEO; Kronos Star reporters; Ada Campo-Corrente; scheduled reception; Willem Vasco-Pais; GAStech Headquarters Building; GAStech reporters; Ingrid Barranco; coverage; reception,256
283,Precautions; President Kapelou; Cato Rossini; 20 January 2014; GAStech Headquarters Building; Emergency; Marcella Trapani; Security team,43
284,Approaches; chaos; windows; tax evasion; protest; rubber bullets; crowds; shops; Kronos Star; police; Siopa; Abila; Violence; rally; POK leader Elian Karel; Unjustifiable; Peaceful means; disperse.; Peace; protest signs; riots; police forces; Peace; Protectors of Kronos; tear gas; Change; President Kapelou; bullhorn,319
