doc_key,processed_entities,output_tokens,entities_not_from_list
0,"One World Research Institute for Social Development | located in the administrative territorial entity | Kronos
VOICES | publication date | 20 January 2014
Centrum Sentinel | located in the administrative territorial entity | Kronos
Centrum Sentinel | publication date | 20 January 2014
island of Kronos | country | Kronos
VOICES | located in the administrative territorial entity | Kronos",134,0
99,"VOICES | part of | GAStech
GAStech | contains administrative territorial entity | VOICES
GAStech | notable work | GAStech-Tethys
GAStech | inception | 1356
Centrum Sentinel | part of | GAStech
GAStech-Tethys | part of | GAStech
Centrum Sentinel | inception | 1356
Centrum Sentinel | located in the administrative territorial entity | GAStech
VOICES | located in the administrative territorial entity | GAStech
GAStech | contains administrative territorial entity | Centrum Sentinel
GAStech | contains administrative territorial entity | GAStech-Tethys
GAStech | notable work | Centrum Sentinel
VOICES | inception | 20 January 2014
GAStech-Tethys | located in the administrative territorial entity | GAStech
GAStech-Tethys | inception | 20 January 2014",195,0
100,"GAStech | inception | 1837
GAStech | publication date | 20 January 2014
Centrum Sentinel | inception | 1837
GAStech | event | the first executive breakfast
VOICES | event | the first executive breakfast
VOICES | inception | 1837
the first executive breakfast | publication date | 20 January 2014
Centrum Sentinel | event | the first executive breakfast
VOICES | publication date | 20 January 2014
the first executive breakfast | inception | 1837
Centrum Sentinel | publication date | 20 January 2014",127,0
101,"Centrum Sentinel | subject has role | bomb squad
fire unit | part of | squad of the bomb
squad of the bomb | has part | fire unit
squad of the bomb | has part | bomb
VOICES | subject has role | bomb squad
bomb | part of | squad of the bomb
VOICES | publication date | 20 January 2014
Centrum Sentinel | subject has role | fire unit
Centrum Sentinel | publication date | 20 January 2014
VOICES | subject has role | fire unit",112,0
102,"Daily Pegasus | publication date | 2012/11/11
ABILA | contains administrative territorial entity | Daily Pegasus
POK | contains administrative territorial entity | Daily Pegasus
Kronos | day in the week | Wednesday
Silvia Marek | day in the week | Wednesday
ABILA | day in the week | Wednesday
POK | day in the week | Wednesday
Silvia Marek | employer | Kronos
Daily Pegasus | located in the administrative territorial entity | Kronos
Silvia Marek | employer | POK
Daily Pegasus | located in the administrative territorial entity | ABILA
Kronos | contains administrative territorial entity | Daily Pegasus
Silvia Marek | employer | ABILA
Silvia Marek | employer | Daily Pegasus
Daily Pegasus | day in the week | Wednesday
Daily Pegasus | located in the administrative territorial entity | POK",198,0
103,"Kronos | country | ELODIS
PUBLIC HEALTH OF ELODIS | inception | 2002/05/27
PUBLIC HEALTH OF ELODIS | has part | general hospital of Abila
HASR | has part | hyperactive acid retirement of the substratum
HASR | country | ELODIS
PUBLIC HEALTH OF ELODIS | has part | Kronos
LEAF 2002 | inception | 2002/05/27
Nespola | located in the administrative territorial entity | ELODIS
Kronos | located in the administrative territorial entity | ELODIS
general hospital of Abila | medical specialty | oncology
oncology | located in the administrative territorial entity | ELODIS
oncology | country | ELODIS
PUBLIC HEALTH OF ELODIS | has part | hyperactive acid retirement of the substratum
Daily Pegasus | located in the administrative territorial entity | ELODIS
PUBLIC HEALTH OF ELODIS | has part | LEAF 2002
PUBLIC HEALTH OF ELODIS | has part | Daily Pegasus
hyperactive acid retirement of the substratum | country | ELODIS
PUBLIC HEALTH OF ELODIS | has part | municipal Web site of Elodis
municipal Web site of Elodis | country | ELODIS
general hospital of Abila | located in the administrative territorial entity | ELODIS
Nespola | country | ELODIS
PUBLIC HEALTH OF ELODIS | has part | HASR
PUBLIC HEALTH OF ELODIS | has part | 178%
municipal Web site of Elodis | located in the administrative territorial entity | ELODIS
PUBLIC HEALTH OF ELODIS | has part | oncology
HASR | located in the administrative territorial entity | ELODIS
PUBLIC HEALTH OF ELODIS | country | ELODIS
general hospital of Abila | country | ELODIS
hyperactive acid retirement of the substratum | located in the administrative territorial entity | ELODIS
Daily Pegasus | country | ELODIS
LEAF 2002 | country | ELODIS
HASR | inception | 1998
PUBLIC HEALTH OF ELODIS | has part | Nespola
LEAF 2002 | located in the administrative territorial entity | ELODIS",484,0
104,"ABILA | employer | GAStech
Daily Pegasus | employer | GAStech
GAStech | employer | Elodis
Elodis | country | POK
POK | day of the week | Saturday
Kronos | publication date | 2009/03/13
Karel | country | POK
Daily Pegasus | country | POK
GAStech | employer | the minister of the offices of justice
Elodis | employee | GAStech
Kronos | employee | GAStech
POK | contains administrative territorial entity | ABILA
Michale Kraft | employee | GAStech
POK | contains administrative territorial entity | Elian Karel
Elodis | employer | GAStech
POK | contains administrative territorial entity | Elodis
Elian Karel | employer | GAStech
GAStech | employer | Kronos
Daily Pegasus | publication date | 2009/03/13
GAStech | employer | Karel
ABILA | publication date | 2009/03/13
the minister of the offices of justice | day of the week | Saturday
POK | contains administrative territorial entity | Kronos
GAStech | employer | the president
the president | day of the week | Saturday
GAStech | publication date | 2009/03/13
GAStech | day of the week | Saturday
POK | contains administrative territorial entity | Karel
ABILA | country | POK
Elodis | publication date | 2009/03/13
GAStech | country | POK
the president | employee | GAStech
Elian Karel | country | POK
the minister of the offices of justice | employee | GAStech
Kronos | day of the week | Saturday
Elian Karel | publication date | 2009/03/13
Elodis | day of the week | Saturday
Karel | employer | GAStech
POK | contains administrative territorial entity | Daily Pegasus
Karel | employee | GAStech
Kronos | country | POK
POK | contains administrative territorial entity | GAStech
Karel | day of the week | Saturday
Michale Kraft | day of the week | Saturday
GAStech | employer | Michale Kraft
Kronos | employer | GAStech",503,0
105,"Elodis | time period | two weeks
Julian Vann | employer | GAStech
Elian Karel | employer | Daily Pegasus
POK | colleague | Kronos
POK | start time | 19 of June 1998
Karel | location | Abila
Kronos | start time | 19 of June 1998
GAStech | founded by | Abila
Karel | start time | 19 of June 1998
Karel | colleague | Elian
GAStech | inception | 19 of June 1998
Elodis | occupation | head of Abila of the police
head of Abila of the police | location | Abila
Daily Pegasus | contributor | Elian Karel
Elian | colleague | Julian Vann
Michale Kraft | mentioned in | Daily Pegasus
Karel | time period | two weeks
GAStech | product | benzene
POK | colleague | Julian Vann
Michale Kraft | employer | Daily Pegasus
Karel | colleague | POK
Elian | start time | 19 of June 1998
Elian Karel | mentioned in | Daily Pegasus
Elian | employer | GAStech
Elodis | location | Abila
Daily Pegasus | publication date | 2011/06/21
Karel | colleague | Kronos
Abila | founder | GAStech
Elian | colleague | Kronos
POK | employer | GAStech
Daily Pegasus | contributor | Michale Kraft
ABILA, Kronos | mentioned in | Daily Pegasus
Karel | employer | GAStech
POK | colleague | Elian
Julian Vann | colleague | Kronos
Karel | colleague | Julian Vann
Abila | start time | 19 of June 1998
Coroner of the city of Abila | location | Abila
Karel | occupation | Coroner of the city of Abila
Julian Vann | start time | 19 of June 1998
Kronos | employer | GAStech",443,0
106,"THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES | location | ELODIS
Celia | involved in incident | THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES
Koppolis | related to | The police
Elodis | related to | The police
Fixes Koppolis | location | ELODIS
Celia | location | ELODIS
THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES | involved | Valeria
THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES | involved | Celia
Daily Pegasus | publication date | 2007/03/21
Carmine | location | ELODIS
THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES | involved | GAStech
THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES | involved | Marcellus Edris
Carmine | involved in incident | THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES
Valeria | location | ELODIS
Marcellus Edris | location | ELODIS
THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES | involved | Carmine
the city of Elodis | located in the administrative territorial entity | ELODIS
THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES | publication date | 2007/03/21
GAStech | involved in incident | THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES
Valeria | involved in incident | THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES
THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES | publisher | Daily Pegasus
Abila | location | ELODIS
Kronos | location | ELODIS
ELODIS | contains | GAStech
ELODIS | incident | THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES
ELODIS | contains | the city of Elodis
Koppolis | related to | Elodis
Marcellus Edris | involved in incident | THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES
GAStech | location | ELODIS",628,0
107,"government | located in the administrative territorial entity | Elodis
government | country | Kronos
Abila | located in the administrative territorial entity | Mabel
Kronos | publisher | GAStech
GAStech | employer | Elodis
Charley Normand | employee | GAStech
GAStech | employer | Charley Normand
Griffith Mabel | employee | Kronos
government | located in the administrative territorial entity | Abila
GAStech | located in the administrative territorial entity | government
ELODIS | employer | Elodis
GAStech | located in the administrative territorial entity | Abila
Mabel | located in the administrative territorial entity | Elodis
Daily Pegasus | publisher | Elodis
GAStech | country | Kronos
Elodis | located in the administrative territorial entity | government
POK | publisher | Julian
Elodis | employer | Julian
POK | employer | Charley Normand
Daily Pegasus | publisher | Julian
Tiskele | publisher | Julian
ELODIS | employer | Julian
Kronos | publisher | Julian
government | located in the administrative territorial entity | Kronos
GAStech | located in the administrative territorial entity | Mabel
Elodis | located in the administrative territorial entity | Abila
Elodis | employer | GAStech
Abila | located in the administrative territorial entity | Kronos
Kronos | publisher | Elodis
Julian | employer | Elodis
Abila | country | Kronos
Tiskele | publisher | Elodis
Daily Pegasus | publisher | ELODIS
Mabel | country | Kronos
GAStech | located in the administrative territorial entity | Kronos
Kronos | publisher | ELODIS
Mabel | located in the administrative territorial entity | Kronos
Elodis | country | Kronos
GAStech | located in the administrative territorial entity | Elodis
government | located in the administrative territorial entity | Mabel
POK | publisher | Elodis
POK | publisher | ELODIS
POK | publisher | GAStech
Julian | employer | GAStech
Kronos | employer | Griffith Mabel
Julian | employer | ELODIS
Abila | located in the administrative territorial entity | Elodis
Elodis | employer | Charley Normand
Mabel | located in the administrative territorial entity | government
Charley Normand | employee | Elodis
Abila | located in the administrative territorial entity | government
Tiskele | publisher | GAStech
Daily Pegasus | publisher | GAStech
Elodis | located in the administrative territorial entity | Mabel
ELODIS | employer | GAStech
Mabel | located in the administrative territorial entity | Abila
Tiskele | publisher | ELODIS
Elodis | located in the administrative territorial entity | Kronos
Daily Pegasus | publication date | 2001/09/02
Charley Normand | employee | POK
GAStech | employer | Julian",655,0
108,"Elian Karel | employer | Daily Pegasus
Abila | contains | Daily Pegasus
Elian Karel | location | Abila
ABILA, Kronos | inception | 19 of June
Abila | resident | Elian Karel
Elian | related to | Kronos
Karel | related to | Kronos
Karel | related to | Kronosian
POK | location | Abila
Julian | related to | Kronos
July of 2010 | event | POK inception
Elian | related to | Kronosian
Kronos | related to | Kronosian
Karel | related to | Elian
POK | inception | July of 2010
Abila | contains | POK
Daily Pegasus | location | Abila
Julian | related to | Elian
Karel | related to | Julian
ABILA, Kronos | location | Abila
19 of June | event | ABILA, Kronos inception
Abila | contains | ABILA, Kronos
Daily Pegasus | publication date | 2010/06/21
Daily Pegasus | publisher | Elian Karel
Julian | related to | Kronosian",254,0
109,"ministry of the health | part of | government
Kronos | performer | Elodis
Pondo Reese | notable work | ELODIS
Abila | contains | government
Tiskele | notable work | Kronos
government | located in the administrative territorial entity | Abila
ministry of the health | located in the administrative territorial entity | Abila
Reese | subject of | statistic of the health
statistic of the health | part of | ministry of the health
Reese | location | Abila
Reese | subject of | medical files
Elodis | notable work | Daily Pegasus
Daily Pegasus | performer | Elodis
Pondo Reese | notable work | KRONOS
Reese | subject of | the scientific test resultses of the health
Henk Bodrogi | subject of | medical files
Elodis | notable work | Kronos
medical files | part of | ministry of the health
Henk Bodrogi | subject of | statistic of the health
Daily Pegasus | publication date | 1998/05/17
ELODIS | performer | Elodis
the scientific test resultses of the health | part of | ministry of the health
Abila | contains | ministry of the health
Elodis | notable work | KRONOS
Henk Bodrogi | subject of | the scientific test resultses of the health
KRONOS | performer | Elodis
Reese | profession | Henk Bodrogi
Henk Bodrogi | location | Abila
Tiskele | notable work | Daily Pegasus
Reese | profession | ministry of the health
Pondo Reese | notable work | Kronos
Tiskele | notable work | KRONOS
Daily Pegasus | performer | Tiskele
Pondo Reese | notable work | Daily Pegasus
KRONOS | performer | Tiskele
ELODIS | performer | Tiskele
ELODIS | performer | Pondo Reese
Tiskele | notable work | ELODIS
Kronos | performer | Pondo Reese
Daily Pegasus | performer | Pondo Reese
KRONOS | performer | Pondo Reese
Elodis | notable work | ELODIS
government | contains administrative territorial entity | ministry of the health
Kronos | performer | Tiskele",490,0
110,"police station | participant in | march
Julian Vann | occupation | POK
office of the minister of justice | participant in | march
Kriste Brontes | participant in | march
Abila | inception | 12 of March
office of the head of the police | participant in | march
Michale Kraft | location of formation | ABILA, Kronos
Karel | occupation | office of the minister of justice
Daily Pegasus | location of formation | ABILA, Kronos
office of the president | participant in | march
Michale Kraft | location of formation | Abila
Elodis | participant in | march
POK | contains administrative territorial entity | police station
Michale Kraft | inception | 12 of March
Abila | located in the administrative territorial entity | Kronos
Daily Pegasus | country of citizenship | Kronos
Julian Vann | participant in | march
Daily Pegasus | inception | 12 of March
POK | participant in | march
Elian Karel | death cause | ELIAN KAREL DIED IN KRONOS JAIL
Kriste Brontes | occupation | office of the president
Daily Pegasus | publication date | 2009/06/21
Michale Kraft | country of citizenship | Kronos
Elian Karel | death place | Kronos
Elian Karel | location of death | Abila
Elian Karel | inception | 12 of March
Karel | participant in | march
Daily Pegasus | location of formation | Abila
Elian Karel | location of death | ABILA, Kronos
ABILA, Kronos | inception | 12 of March
Elodis | occupation | office of the head of the police
GAStech de Tethyn | participant in | march
GAStech de Tethyn | inception | 1998
Elian Karel | death date | 2009/06/21
1998 | point in time | march
Elian Karel | country of citizenship | Kronos",429,0
111,"Elodis | contains administrative territorial entity | Daily Pegasus
Daily Pegasus | publication date | 2004/05/31
ELODIS | contains administrative territorial entity | LEAF 2004 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS
ELODIS | contains administrative territorial entity | municipal Web site of Elodis
LEAF 2004 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS | publication date | 2004/05/31
Daily Pegasus | location of formation | ELODIS
LEAF 2004 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS | location of formation | ELODIS
municipal Web site of Elodis | inception | 1998
LEAF 2004 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS | location of formation | Elodis
Elodis | contains administrative territorial entity | Kronos
Kronos | location of formation | ELODIS
Elodis | contains administrative territorial entity | municipal Web site of Elodis
ELODIS | contains administrative territorial entity | Daily Pegasus
ELODIS | contains administrative territorial entity | Kronos
Kronos | location of formation | Elodis
Daily Pegasus | location of formation | Elodis
municipal Web site of Elodis | location of formation | ELODIS
Elodis | contains administrative territorial entity | LEAF 2004 OF THE FACT OF THE PUBLIC HEALTH OF ELODIS
municipal Web site of Elodis | location of formation | Elodis",328,0
112,"Elodis | contains administrative territorial entity | Daily Pegasus
Sten Sanjorge Jr | colleague | Tethys
Osvaldo | employer | GAStech
Reese | colleague | Sten Sanjorge Jr
Sten Sanjorge Jr | birth year | 1961
Daily Pegasus | notable work | Tiskele
Tiskele | location | Elodis
Reese | employer | GAStech
Tethys | birth year | 1961
Pondo Reese | inception | 250 years
GAStech | foundation year | '94
Kronos | contains administrative territorial entity | Elodis
Tiskele | publication date | 1998/03/21
Daily Pegasus | country | Elodis
Daily Pegasus | country | Kronos
Pondo Reese | country | Elodis
Pondo Reese | residence | Elodis
GAStech | employee | Reese
Reese | colleague | Osvaldo
Sten Sanjorge Jr | employer | GAStech
Tethys | colleague | Sten Sanjorge Jr
Henk Bodrogi | employer | GAStech
Henk Bodrogi | start time | 25 of April of 1998
Sten Sanjorge Jr | colleague | Reese
Henk Bodrogi | colleague | Reese
Osvaldo | colleague | Henk Bodrogi
Reese | colleague | Tethys
Daily Pegasus | inception | 1998/03/21
Elodis | employer | GAStech
Daily Pegasus | inception | 250 years
Reese | colleague | Henk Bodrogi
Tiskele | location | Kronos
Tethys | colleague | Reese
Elodis | country | Kronos
Osvaldo | colleague | Reese
Reese | start time | 25 of April of 1998
Tiskele | inception | 250 years
Kronos | country | Elodis
Tiskele | publisher | Daily Pegasus
Reese | birth year | 1961
Elodis | contains administrative territorial entity | Kronos
Sten Sanjorge | employer | GAStech
GAStech | employee | Osvaldo
Daily Pegasus | location | Kronos
Osvaldo | start time | 25 of April of 1998
Kronos | contains administrative territorial entity | Daily Pegasus
Kronos | inception | 250 years
Tiskele | country | Elodis
Tiskele | country | Kronos
Pondo Reese | country | Kronos
Elodis | inception | 250 years
Mr. hank Fluss | employer | GAStech
Henk Bodrogi | colleague | Osvaldo
Daily Pegasus | location | Elodis
Pondo Reese | residence | Kronos
Tethys | employer | GAStech
GAStech | employee | Henk Bodrogi",639,0
113,"Abila | country | Daily Pegasus
Henk Bodrogi | located in the administrative territorial entity | Daily Pegasus
the end of this year | country | Daily Pegasus
General Assembly | located in the administrative territorial entity | Daily Pegasus
Minister of the health | located in the administrative territorial entity | Daily Pegasus
Elodis | located in the administrative territorial entity | Daily Pegasus
Henk Bodrogi | country | Daily Pegasus
Kronos | country | Daily Pegasus
Elodis | country | Daily Pegasus
Kronos | located in the administrative territorial entity | Daily Pegasus
Daily Pegasus | publication date | 2001/03/23
the end of this year | located in the administrative territorial entity | Daily Pegasus
Minister of the health | country | Daily Pegasus
Abila | located in the administrative territorial entity | Daily Pegasus
General Assembly | country | Daily Pegasus
Will stop Nespola | located in the administrative territorial entity | Daily Pegasus
Will stop Nespola | country | Daily Pegasus",252,0
114,"Kronos | has part | protectors of the group of the activist of Kronos (POK)
Nespola | member of | Elodis
Osvaldo | member of | POK
Julian Vann | collaborator | Osvaldo
Nespola | country | ABILA
MINISTER OF THE HEALTH | employer | Daily Pegasus
Elodis | inception | 1997
Nespola | collaborator | Osvaldo
Osvaldo | collaborator | Nespola
protectors of the group of the activist of Kronos (POK) | country | ABILA
Julian Vann | collaborator | Nespola
Elodis | member | Osvaldo
POK | member | Nespola
MINISTER OF THE HEALTH | position held | Prime minister of the health
Carmine Osvaldo | employer | Daily Pegasus
POK | inception | 1997
Kronos | country | ABILA
Elodis | member | Julian Vann
MINISTER OF THE HEALTH | country | ABILA
Daily Pegasus | publisher | Prime minister of the health
Prime minister of the health | employer | Daily Pegasus
Carmine Osvaldo | position held | Prime minister of the health
Prime minister of the health | country | ABILA
Elodis | member | Nespola
Daily Pegasus | country | ABILA
Prime minister of the health | member of | protectors of the group of the activist of Kronos (POK)
Osvaldo | collaborator | Julian Vann
Carmine Osvaldo | position held | MINISTER OF THE HEALTH
Osvaldo | member of | Elodis
POK | member | Osvaldo
Nespola | member of | POK
Nespola | collaborator | Julian Vann
Julian Vann | member of | Elodis
Daily Pegasus | publisher | MINISTER OF THE HEALTH
MINISTER OF THE HEALTH | member of | protectors of the group of the activist of Kronos (POK)
Prime minister of the health | position held | MINISTER OF THE HEALTH
Daily Pegasus | publication date | 1999/07/08
POK | member | Julian Vann
Daily Pegasus | publisher | Carmine Osvaldo
Carmine Osvaldo | country | ABILA
Carmine Osvaldo | member of | protectors of the group of the activist of Kronos (POK)
Julian Vann | member of | POK",535,0
115,"governmental offices of Kronos | contains administrative territorial entity | GAStech
Karel | member of | POK
governmental offices of Kronos | location | Kronos
the meeting of yesterday | located in the administrative territorial entity | Abila
GAStech | inception | 1993
GAStech | location | Kronos
Abila | director/manager | Jon L.
the transparency in our government | country | Abila
Daily Pegasus | time in space | Saturday
governmental offices of Kronos | time in space | Saturday
Julian Vann | employer | GAStech
foreign operations of the gas | country | Abila
Daily Pegasus | location | POK
the ministers | country | Abila
GAStech | location | POK
ABILA | contains administrative territorial entity | GAStech
Julian | citizenship | POK
POK | contains administrative territorial entity | ABILA
the family and the cronies of the ministers | country | Abila
Abila | country | Kronos
president Araullo | employer | governmental offices of Kronos
the direction of POK of Henk Bodrogi | country | Abila
POK | contains administrative territorial entity | Kronos
Julian Vann | date of birth | 20 years old
the nonlucrative hospital | country | Abila
foreign operations of the gas | located in the administrative territorial entity | Abila
Daily Pegasus | location | ABILA
Julian Vann | citizenship | POK
Julian | employer | GAStech
Kronos | time in space | Saturday
Abila | director/manager | Henk Bodrogi
Karel | member of | Kronos
Julian Vann | time in space | Saturday
Abila | director/manager | POK
the ministers | located in the administrative territorial entity | Abila
governmental offices of Kronos | inception | 1998
the increasing yield of the foreign operations of the gas | country | Abila
the electrical systems | located in the administrative territorial entity | Abila
ABILA | time in space | Saturday
the electrical systems | country | Abila
the city of Abila | contains administrative territorial entity | the park the city of Abila
the family and the cronies of the ministers | located in the administrative territorial entity | Abila
GAStech | founded by | Julian Vann
Karel | works at | the office of the president
general hospital of Abila | located in the administrative territorial entity | Abila
GAStech | location | ABILA
Julian | date of birth | 20 years old
the direction of POK of Henk Bodrogi | located in the administrative territorial entity | Abila
Daily Pegasus | publication date | 2009/03/09
POK | time in space | Saturday
Kronos | country | POK
the transparency in our government | located in the administrative territorial entity | Abila
the increasing yield of the foreign operations of the gas | located in the administrative territorial entity | Abila
POK | member | Karel
Julian | employer | governmental offices of Kronos
Julian Vann | employer | governmental offices of Kronos
Abila | inception | 1997
Abila | director/manager | Elian Karel
president Araullo | position held | president
the nonlucrative hospital | located in the administrative territorial entity | Abila
GAStech | time in space | Saturday
the city of Abila | located in the administrative territorial entity | Abila
Julian | occupation | president Araullo
president Araullo | time in space | Saturday
president Araullo | citizenship | POK
ABILA | country | POK
GAStech | founded by | Julian
Julian Vann | occupation | president Araullo
Daily Pegasus | location | Kronos
the office of the president | employee | Karel
governmental offices of Kronos | founded by | president Araullo
foreign companies | country | Abila
Kronos | member | Karel
Kronos | contains administrative territorial entity | GAStech
Julian | time in space | Saturday
the park the city of Abila | located in the administrative territorial entity | Abila
the meeting of yesterday | country | Abila
POK | contains administrative territorial entity | GAStech
foreign companies | located in the administrative territorial entity | Abila",935,0
116,"Daily Pegasus | country | ABILA
Julian Vann | active years start year | 1998
Mestache Vardshvna | inception | 2014/03/26
Julian Vann | collaborator | Kronos
Mestache Vardshvna | located in the administrative territorial entity | ABILA
Julian Vann | collaborator | Elian Karel
Kronos | country | ABILA
Elian Karel | active years start year | 1998
Daily Pegasus | located in the administrative territorial entity | ABILA
Mestache Vardshvna | country | ABILA
Elian Karel | collaborator | Julian Vann
Kronos | collaborator | Elian Karel
Kronos | collaborator | Julian Vann
Elian Karel | collaborator | Kronos
Kronos | active years start year | 1998
Kronos | located in the administrative territorial entity | ABILA
Daily Pegasus | inception | 7 of September of 2012",222,0
117,"Kronos | country | ELODIS
benzene | located in the administrative territorial entity | ELODIS
Kronos | located in the administrative territorial entity | ELODIS
acetic anhydride | country | ELODIS
PUBLIC HEALTH OF ELODIS | inception | 1998
PUBLIC HEALTH OF ELODIS | located in the administrative territorial entity | ELODIS
health for everything | country | ELODIS
Daily Pegasus | located in the administrative territorial entity | ELODIS
acetic anhydride | located in the administrative territorial entity | ELODIS
Daily Pegasus | inception | 30
benzene | country | ELODIS
arsenic | located in the administrative territorial entity | ELODIS
PUBLIC HEALTH OF ELODIS | country | ELODIS
dioxide of clorina | located in the administrative territorial entity | ELODIS
Daily Pegasus | country | ELODIS
Elodis Community | country | ELODIS
Elodis Community | located in the administrative territorial entity | ELODIS
dioxide of clorina | country | ELODIS
health for everything | located in the administrative territorial entity | ELODIS
arsenic | country | ELODIS
PUBLIC HEALTH OF ELODIS | inception | 1998/05/17",281,0
118,"Elodis | owner | Jeroen
Kronos | owner | ABILA
Jeroen | employer | Daily Pegasus
Jeroen | country | POK
Julian | colleague | Elian
Julian Vann | country | POK
Elodis | country | POK
Elian Karel | sibling | Antaura Karel
Silvia Marek | spouse | Elian Karel
Marek | colleague | Elian
Elian | colleague | Jeroen
Henk Bodrogi | colleague | Elian
police of Abila | country | Abila
Daily Pegasus | country | POK
assembly | interact with | The police
The police | use | aerosol of the pepper
Elian Karel | spouse | Silvia Marek
Daily Pegasus | owner | Elian Karel
Marek | colleague | Julian
Henk Bodrogi | colleague | Julian
Julian Vann | owner | Elodis
Daily Pegasus | subsidiary | Elodis
Marek | colleague | Jeroen
Elodis | inception | 19 of June of 2009
Jeroen | colleague | Henk Bodrogi
aerosol of the pepper | used by | The police
The police | use | command batons
Henk Bodrogi | colleague | Jeroen
ABILA | country | POK
Elodis | parent organization | Daily Pegasus
Elian Karel | country | POK
ABILA | subsidiary | Kronos
Daily Pegasus | owner | Antaura Karel
Daily Pegasus | inception | 2012/06/22
police of Abila | located in the administrative territorial entity | Abila
Antaura Karel | country | POK
Kronos | parent organization | ABILA
Elian | colleague | Henk Bodrogi
Silvia Marek | country | POK
POK | located in the administrative territorial entity | Abila
command batons | used by | The police
Antaura Karel | sibling | Elian Karel
Julian Vann | employer | Daily Pegasus
POK | country | Abila
Henk Bodrogi | colleague | Marek
three years ago today | point in time | Abila
Julian | colleague | Henk Bodrogi
Marek | colleague | Henk Bodrogi
Jeroen | owner | Elodis
Kronos | country | POK
Elodis | owner | Julian Vann
ABILA | owner | Kronos
Julian | colleague | Jeroen",552,0
119,"Kapelou the Jr of II | employer | GAStech
GAStech | subsidiary | GAStech-Kronos
Kronos | parent organization | GAStech
Daily Pegasus | publication date | 2014/01/19
Daily Pegasus | location | ABILA
GAStech-Kronos | parent organization | Kronos
GAStech | location | ABILA
Sten Sanjorge | employer | GAStech
ABILA | location | Kronos
Kronos | location | ABILA
ABILA | location | GAStech
GAStech-Kronos | location | ABILA
Kapelou the Jr of II | location | ABILA
Sten Sanjorge | location | ABILA
GAStech-Kronos | parent organization | GAStech
2014/01/19 | event | Daily Pegasus",184,0
120,"Henk Bodrogi | country | POK
Henk Bodrogi | inception | 1998/11/16
Kronos | located in the administrative territorial entity | ABILA
Daily Pegasus | inception | 1998/11/16
Elodis | located in the administrative territorial entity | ABILA
Elodis | country | POK
Will stop Nespola | inception | 1998/11/16
Kronos | country | POK
Kronos | inception | 1998/11/16
Daily Pegasus | located in the administrative territorial entity | ABILA
Elodis | inception | 1998/11/16
Will stop Nespola | located in the administrative territorial entity | ABILA
Will stop Nespola | country | POK
Daily Pegasus | country | POK
Henk Bodrogi | located in the administrative territorial entity | ABILA",241,0
121,"Earth | contains | Daily Pegasus
GAStech | contains | arsenic of xylene
Bodrogi | related to | company of the gas
Kronesian | contains administrative territorial entity | government of Kronos
GAStech | product | health for all
Fluss hank | contains | selenium
government of Kronos | occupation | scientific analysis
Sanjorge | employer | GAStech
Ferro | lifespan | 200 years
Jr | employer | GAStech
Reynolds | associated with | Pondo Reese
Elodis | country | Kronesian
Elodis | contains | selenium
Joclyn Reynolds | product | health for all
Sten Sanjorge | nationality | Kronesian
Elodis | contains | tolueno
Asia South-Eastern | contains | GAStech
Tiskele | location | Asia South-Eastern
Kronesian | contains administrative territorial entity | Reynolds
Sten Sanjorge | occupation | scientific analysis
Daily Pegasus | operator | ELODIS
Kronesian | contains administrative territorial entity | leaders of Elodis
Joclyn Reynolds | employer | GAStech
ELODIS | employee | Henk Bodrogi
Asia South-Eastern | contains | Joclyn Reynolds
Tiskele | contains | tolueno
Joclyn Reynolds | residence | Asia South-Eastern
GAStech | contains | benzene
leaders of Elodis | country | Kronesian
Fluss hank | contains | tolueno
