index,processed_entities,output_tokens
113,Vicar Apostolic of Pondicherry; Rome; Holy See; Maldive Islands; Pope; Clément Bonnand; Catholics; Archdiocese of Colombo; Christian; Muslims; Sri Lanka; Catholic Church; Maldives,89
114,The Sword and the Sickle; World War I; English; India; France; Untouchable; Indian Army; Mulk Raj Anand; Lalu; Western culture; Germans; Basavaraj Naikar; Britain; The Village; Black Waters; Indian,77
115,Cumberland Trail; Cove Lake; Caryville Dam; Jacksboro; Norris Dam Project; Cove Creek; Campbell County; Tennessee; Caryville; Norris Reservoir; Cove Lake State Park,63
116,Germany; June 1944; 1930s; German Navy; English Channel; Bay of Biscay; September; Norwegian Campaign of 1940; Reichsmarine; Kriegsmarine; British; Kondor; France; World War II; Oslo; Norway; Allied Invasion of Normandy; Spanish Civil War; Type 23 torpedo boats,105
117,Beckfoot; Tarns; United Kingdom; Cumbria; Carlisle; Foulsyke; Abbeytown; Aldoth; Pelutho; Holme Abbey; Highlaws; Holme St. Cuthbert,63
118,Cheese Symphony; Les Rougon-Macquart; Le Ventre de Paris; Florent; L'uvre; Rougon-Macquart cycle; 19th-century Paris; Quenu; Lisa Quenu; Claude Lantier; Second Empire; mile Zola; Macquart; Les Halles; French coup of 1851; L'Assommoir; Empire; The Belly of Paris,115
119,Research & Policy Institute; U.S. energy policies; State policies; EESI,46
120,Luxembourgish; Mathé Altéry; France; Aprite le finestre; Amours mortes (tant de peine); Eurovision Song Contest 1956; Danièle Dupré; Le temps perdu; Franca Raimondi; Ne crois pas; Italy; Les amants de minuit; French; Michèle Arnaud,98
121,Vietnam; China; Procter & Gamble; Indonesia; Grey Advertising; Dec. 2017; Amy Sedaris; Thailand; Kenya; Egypt; Tituss Burgess; Lenor; Philippines; December 1961; Downy; U.S.; Downy / Lenor Unstoppables; Malaysia; United States; Latin America; August 1960; Russia; South Korea; Europe; UK; Japan; Singapore,136
122,Schwerin; Baltic Sea; Gross-Schwansee; Kltz; Boltenhagen; 10.000 beds; 30 km; Lbeck; German Riviera; German; Bay of Lbeck; 5 km; Tudor-style; Wismar; Hamburg Metropolitan Region; Bothmer Mansion; Wohlenberger Wiek; Mecklenburg-Vorpommern; Eastern Germany,111
123,Groveton; French and Indian War; Milan; Stark; Dummer; Randolph; Pilot Range; Fort Wentworth; American Revolutionary War; Godfrey Dam; Ammonoosuc River; Berlin; Cos County; Connecticut River; New Hampshire Route 110; Upper Ammonoosuc River; New Hampshire; Northumberland; Pond of Safety; Crescent Range; Pliny Range; White Mountains,114
124,"Call of Duty; October 10, 1967; War for the Planet of the Apes; Coco; Rogue One; Super 8; Dawn of the Planet of the Apes; Star Trek Into Darkness; Academy Award; Michael Giacchino; Doctor Strange; Grammy Awards; Ratatouille; Star Trek Beyond; Incredibles 2; Jurassic World; Fringe; Inside Out; Medal of Honor; Golden Globe Award; American; Up; Lost; The Incredibles; Star Trek; Zootopia; Emmy Award; Alias",151
125,Saarland; Regionalligas; Germany; Bundesliga; January 1946; 3. Liga; Oberliga Sdwest; Rhineland-Palatinate; German football league system,91
126,China; Siberia; Arctic Ocean; Russian Far East; Kazan Governorate; Tsardom of Russia; Russians; Tobolsk; Archangelgorod Governorate; Russian Empire; Pacific Ocean; Siberia Governorate; Urals,81
127,National Theater of Senegal; Julius Caesar; 13 years; Free French Forces; European; 11 February 2005; Lyon; Directorship; General Charles de Gaulle; Senegalese National Theater; 13 January 1924; Raymond Maroutian; France; King; Festival de Nmes; African Shakespearean; World War II; Albert Camus; Paris; Andr Malraux; Raymond Hermantier; French,121
128,Die Weltbühne; January 1933; May; Kurt Tucholsky; Theobald Tiger; Weimar Republic; Heinrich Heine; Nazis; Peter Panter; Sweden; Kaspar Hauser; Paris; National Socialism; 9 January 1890; Ignaz Wrobel; Berlin-Moabit; German-Jewish; 21 December 1935,109
129,Tajik; Urgut; Urgutlik; Uzbek; Urgut District; Samarqand Region; Uzbeks; Uzbekistan; Samarkand,48
130,"Treasure Island; American; Newell Convers Wyeth; Andrew Wyeth; America; October 19, 1945; Jamie Wyeth; Scribner Classics; N. C. Wyeth; Scribner's; October 22, 1882; Howard Pyle",78
131,"Spring Lake; Bound Brook; Piscataway; Green Brook; Raritan River; South Plainfield; Interstate 287; Middlesex County; County Route 501; New Market Pond; Edison; United States; New Jersey; Cedar Brook; Dismal Swamp; Mountain View Park; Bound Brook, New Jersey; Sacunk; Middlesex",94
132,Alberto Korda; Jim Fitzpatrick; Tim Commerford; Fistful of Steel; Mickey; Sendero Luminoso; Cuban; Peruvian; Irish; Bombtrack; American; Che Guevara; Natural Born Killers; Abimael Guzman; Mallory; Guerrillero Heroico; Rage Against the Machine; Oliver Stone; Know Your Enemy,117
133,Prime Minister; 28 October 2011; 2009 Malagasy political crisis; Madagascar; National Assembly; Andry Rajoelina; High Constitutional Court; February 2014; May 2014; Marc Ravalomanana; 17 March 2009; Florent Rakotoarisoa; Ambatofinandrahana District; Malagasy National Assembly; High Transitional Authority; Albert Camille Vital; Malagasy; 5 May 2014; Omer Beriziky; Minister of Justice; 31 October 2013; MAPAR party,161
134,Vietnam; Wuhan; Taiwan; France Transfo; Taiwan Stock Exchange; Schneider Electric Company; Wuxi; Xiamen; Suzhou; Changzhou; TSE 1503; France; Hsinchu; Mainland China; Mitsubishi Electric; Fuzhou; Q1 2009; Southern Vietnam; Taipei; Japan,111
135,"October 1, 1999; Alberta; Capilano Drive; Edmonton; Edmonton Oilers; Skyreach Centre; Inner Ring Road; Wayne Gretzky; 75 Street; Wayne Gretzky Drive; 66 Street; Whitemud Drive; 99; Manning Drive; 118 Avenue; Canada; 66/75 Street; Yellowhead Trail; NHL; Fort Road; 33 Street NE; 41 Avenue SW",111
136,Inner Life; American; Salsoul Records; Black Ivory; Ai n't No Mountain High Enough; New York; Red Greg Records; Bob Blank; Joe Arlotta; Greg Carmichael; Leroy Burgess; Patrick Adams; Jocelyn Brown,103
137,20th century; France; Turkey; Ahmet Kaya; 28 October 1957; Kurd of Turkey; Malatya; 16 November 2000; Kurdish language; TV; Kurdish-Turkish; Kurdish; Abdullah Ocalan; Kurdistan Worker's Party,99
138,"Jesse Bradford; March 28, 1973; The Power of Few; William Morris Endeavor; Anthony Anderson; Devon Gearhart; Digital-Do-It-Yourself; Juvenile; Christian Slater; Nicky Whelan; Stuart Manashil; Youngstown, Ohio; American; Christopher Walken; Moon Bloodgood; Q'orianka Kilcher; Leone Marucci; The Hollywood Reporter",124
139,"Susan J. Pharr; young Japanologists; Asia; March 16, 1944; third highest; Japanologist; eight classes; spring of 2008; badge of the Order; political science; United States of America; Japanese government; Japan; civil society; Harvard University",119
140,elk; scorpions; May Tank Pocket; Perkinsville; White Horse Lake; white limestone; Coconino; USGS; sycamore; Kaibab; fir; Flagstaff; Mogollon Rim; walnut; 40 miles; pine; hermit thrushes; U.S.; Sycamore Basin; mountain lions; Sycamore Creek; horseback riding; red sandstone; Ring-tailed cats; cottonwood; Williams; canyon wrens; Verde River; Arizona; black bears; Davenport Hill; Clarkdale; rattlesnakes; Sycamore Canyon; Prescott national forests; Sycamore Canyon Wilderness; brown lava; hiking; deer,207
141,Olympic (1960); 10 November 1991; Vra slavsk; 1960 Olympics; All-Around silver medalist; World / Olympic silver medals; Mlad Boleslav; 1958 Worlds; World (1962); 1962 Worlds; 1954 World Championships; 18 December 1931; 1956 Olympics; Czech national team; Prague; first woman gymnast; 1936 Berlin Olympics; Czech; Vchtov; Eva Boskov-Hlavkov; cartwheel; Soviet women's team; Czech women's gymnastics team; 1962 World Championships; balance beam,177
142,US Air Force; Ripton; Boston; Robbins Phillips; United States; Massachusetts; Board of Selectmen of Ripton; Hugh Davis; Hester A. Davis; western Massachusetts,63
143,V. Shantaram; Shankarrao Bhosle; P. Jairaj; Prabhat Film Company; Indian; Gopal Krishna; Chandrasena; Udaykal; Mane Pahelwan; Sheikh Fattelal; Khooni Khanjar; 1930-31; Ganpat G. Shinde; Vishnupant Govind Damle; Rani Saheba; Zulum; Sakribai; Keshavrao Dhaiber,148
144,Miami Shores; Doctor in Podiatry; DPM; Jackson Memorial Hospital; Mercy Hospital; United States; Albert Armstrong; Physician Assistant Master; North Shore Medical Center; DVA Miami; Florida; Barry University,96
145,"L'Illustration; London; France; Louise Faure-Favier; December 12, 1870; Dakar; Firminy; Blanche et Noir; March 5, 1961; French; Paris; Guillaume Apollinaire",105
146,Saxon Switzerland; Pirna; Elbe river; Germany; Kirnitzschtalbahn; Kirnitzschtal tramway; Kirnitzsch; Sebnitz; OVPS; Saxony; Bad Schandau; National Park; Lichtenhain Waterfall,117
147,"Jeremy Ruzumna; Canadian; N Sync; Sweet Sensation; Randy Bachman; McMaster & James; Manitoba; Christina Aguilera; Canadian Idol; Luke McMaster; Fresh I.E.; Love Wins Everytime; Winnipeg; Chris Perry; province of Manitoba; Justin Gray; M.B.C.I; Grammy; Simon Perry; Jesse Labelle; Rob James; I Understand; Top 10; Jess Cates; October 30, 1977; Thank You; Ryan Malcolm; top 7",152
148,Closer; American; English; Peter Hook; 18 May 1980; Bernard Sumner; New Order; Factory; Stephen Morris; Unknown Pleasures; Ian Curtis; Joy Division,55
149,French Academy of Sports; Albertville; skiercross; Alpine skier; Lucie; downhill skiing; Jean-Claude Killy; alpine skiing; Prix de la ville de Paris; Alpine skiing World Cup; Franck Piccard; cross-country skiing; Jeff Piccard; Leila Piccard; Super-G competition; 17 September 1965; 1988 Olympics; Calgary; Les Saisies; Ian Piccard; Ted Piccard; Frank Sinatra; 1992 Olympics; French,167
150,"First Nations; Canadian; Queen Mary; Upper Canada College; Conservatives; University of Toronto; John Alexander Boyd; William Glenholme Falconbridge; April 23, 1837; Royal Commission; Robert Roswell Gamey; King George V; David Breakenridge Read; Canada; November 23, 1916; October 1901; Liberal Government",156
151,Tunis; Yasmine Torjeman-Besson; Éric Besson; UNESCO; Marcel Proust; Mondher Ben Ammar; Tunisian; University of Tunis; Esprit; Tarak Ben Ammar; Hélé Béji; Le Débat; Paris; Collège international de Tunis; Agrégation de lettres modernes; French,134
152,Eastern and Oriental Orthodoxy; Church of the East; Lutheran; Christianity; Jesus Christ; Second Heaven; Assyrian Church of the East; Reformed teaching; Anglo-Catholics; John Wesley; Church Fathers; Joseph; Methodism; Catholic Church; Holy Family; Mary; Anglican; Thomas Cranmer; Hugh Latimer; Catholicism; Martin Luther,102
153,"Kenny Loggins; Me and Emily; Blake Shelton; Where Would You Be; Martina McBride; BNA Records; Rachel Christine Proctor; Jesse Lee; August 11, 1974; Where I Belong; Jana Kramer; 24; 18; Days Like This; March 2013; Big Tractor; Gary Allan; American; Lauren Alaina; Jessica Simpson; Big Tractor Music Publishing; Scott Hendricks",128
154,Rudi Moser; Burnin ' the Ice; 1980s and 1990s; German; Springer; Remo Park; Nick Cave; Die Haut; Christoph Dreher; Jochen Arbeit; Spring; Berlin; Einstrzende Neubauten,78
155,"U23 team; Beşiktaş JK; Turkey; Şanlıurfa Wheelchair; Top Scorer; August 2013; polio; April 17-23, 2013; Turkish; May 12, 1991; Dubai; Şanlıurfa; Mehmet Yetingöz",118
156,"George Verschoor; January 13, 2012; Deal or No Deal; October 21, 2011; Big Brother; Wipeout; Disney-ABC Television Group; Fear Factor; Greengrass Television; Trading Spaces; Extreme Makeover; Friday; standard definition; December 15, 2011; Endemol USA; ABC; high definition; widescreen; American; Brady Connell; Sunday; Ty Pennington",130
157,5 January 1816; 1st Baronet; Napoleonic Wars; St. Vincent; War of 1812; French Revolutionary Wars; Governor General; Commander in Chief; United States; New Jersey; Canada; Governor of Dominica; British Army; West Indies; Britain; British North America; Augustine Prévost; 19 May 1767,146
158,Küçük Menderes River; Tire; Nevruz Day; third Sunday of every March; Tuesday; corn; Islamic architecture; Ödemiş; Aydın; figs; Friday; Konak Square; Büyük Menderes River; Izmir Province; Turkey; Tire kebab; Konkak; Bayındır; Jewish; Selçuk; Aegean Sea; watermelons; Torbalı; cotton; Gulf of Kuşadası; peaches; walnuts; Izmir; grenadines; Aydin Province; sesame; cherries; chestnuts; tobacco,174
159,English Midlands; Europe; Oecophora bractella; Oecophoridae; Wye valley; July; gelechioid moth; UK; southern England; May; Oecophorinae; Oecophora; Wyre Forest; southern Wales,75
160,"U.S.; Yugoslav; National Guard; EUCOM Area of Responsibility; global SPP; NG; Soviet Union; Combatant Commands; Baltic states; Latvia; Warsaw Pact; NATO; National Guard Bureau; EUCOM SPP; December 26, 1991",98
161,The New Swingle Singers; a cappella; Anne Germain; two sopranos; Christiane Legrand; The Swingles; Claudine Meunier; Jeanette Baucomont; two altos; two tenors; Jean-Claude Briodin; Jean Cussac; London; France; Claude Germain; Ward Swingle; Swingle II; double bass; The Swingle Singers; Paris; drums; two basses,134
162,27 April 1947; 24 April 1975; No Matter What; Ivor Novello Awards; Harry Nilsson; Baby Blue; Badfinger; Without You; Welsh; Peter William Ham; Day After Day,65
163,"2003-04 CBA season; China; Beijing Jinyu; Beijing Wanfeng Aote; Beijing Jinyu Group Co., Ltd.; Beijing; Beijing Jinyu Ducks; Shougang Corporation; Beijing Olympians; North Division; Beijing Shougang Ducks; Chinese Basketball Association",84
164,Abaco; Elbow Cay; Bahamas; Hope Town District Council; Bahamian Architecture; Hope Town; Abaco islands,38
165,Ruacana Power Station; Namibia; Angola; Ruacana; Ovamboland; South African; Kunene Province; Calueque; Angolan civil war; Oshakati; Portuguese; Kunene River,68
166,"Kaki Allah Morad Hamidi; tanbur; Gahwareh; Kermanshah Province; Kermanshah; Voices of Kurdistan; Mirza Sayyed Ali Kafashyan; Iran; Kurdish sufi music; London; British; San Francisco; North America; Europe; Sayyed Vali Hosseyni; Shahram Nazeri; September 30, 2006; New York; Ali Akbar Moradi; Kurdish",143
167,"Nonzee Nimibutr; Deaw; Dan Chupong; Ong Bak 2; Ong Bak 3; Panna Rittikrai; Born to Fight; Chupong Changprung; Thai; March 23, 1981; Bodyguard 4; Kalasin Province; Dynamite Warrior; Somtum; Queen of Langkasuka; Thailand",108
168,"South Pole; Sentinel Range; Crosswell Glacier; IGY; Admiral Dufek; January 1958; Ellsworth Mountains; October 31, 1956; Navy R4D; Mount Tyree; Mount Shinn; Australian government; Damien Gildea; Trimble 5700 GPS; 4800 m; Goodge Col; Branscomb Glacier; Rodrigo Fica; Omega Foundation; AUSPOS processing system; US-ACAN; Antarctica; Ramorino Glacier; U.S. Navy",165
169,Georg Jochmann; Kiel; Adolph Strmpell; Alfred Kast; University of Freiburg; Berlin; University of Breslau; 6 January 1915; spotted typhus; German; Russian; Theodor Rumpel; Hamburg-Eppendorf Hospital; 11 October 1874; Bernhard Fischer; Rudolf-Virchow-Krankenhaus; Liegnitz; Breslau,126
170,Voice of America; April 2007; U.S.; Pashtun; McClatchy News Service; Afghanistan; Gulbuddin Hekmatyar; Tolo TV; Hamid Karzai; Afghan; Taliban; Afghan Prime Minister; May 2006; Abdul Jabar Sabet; Interior Ministry; Montreal,108
171,"Quebec legislative assembly; Alexis Mousseau; dit Grandpr; Joseph-Alfred Mousseau; Sophie Duteau; James William Bain; House of Commons of Canada; Joseph-Octave; December 13, 1898; Joseph Octave Mousseau; Quebec; Nicolet; Montreal; April 25, 1844; Saint-Polycarpe; Canada East; Berthier; Soulanges; Louis Mousseau; Independent; Marie Rose-Avelina Cadieux",142
172,Premier League; Ghana; Player of the Tournament; Newcastle United; Vitesse Arnhem; Goal of the Tournament; 10 January 1992; 3.5 million; AFC Bournemouth; 2015 Africa Cup of Nations; 30 caps; Málaga; Porto; two Africa Cup of Nations; Chelsea; 2016-2017; Christian Atsu Twasam; Ghanaian; Ghanaian national team; Everton; Rio Ave; May 2017; 2014 FIFA World Cup,139
173,"Hawaiian Airlines; Kahului CDP; Honolulu; Maui; 1,632,000; Maui County; Kahului Airport; United States; Haleakala; US; Sikorsky S-38; FAA; Hawai'i; DC-9s; Douglas DC-3s; 13th; Bertram J. Hogg; 1960s",140
174,"Germany; May 5, 2004; Universal Music; Floorfiller; The Final Cut; Asian; Dhani; Halfway Around the World; Greatest Hits Tour; A-Teens; Mamma Mia; Sweden; Latin America; Argentina; Stockholm Records; Interscope Records; Mexico; Europe; I Promised Myself; American; Upside Down; America; With or Without You",112
175,Selandian; Puercan; To3; 61.7 Ma; Paleocene; To1; To2; North American; Tiffanian NALMA stages; Thanetian; Danian,90
176,Germany; Ferdinand I; King of Romania; 6 September 1940; Romania; Michael I; Prime Minister Ion Antonescu; Zizi Lambrino; 15 October 1893; Orthodox; Michael; King Carol I; 4 April 1953; Carol II; King Constantine I of Greece; Hohenzollern; Magda Lupescu; Nazi Germany; 8 June 1930,144
177,Fort Worth metroplex; San Bernardino; Saint Paul; metropolitan statistical area; Hampton Roads; Riverside; United States; Census Bureau; Inland Empire; Norfolk-Virginia Beach; Twin Cities; Philadelphia; New York City; MSA; Minneapolis; OMB; Dallas,90
178,U.S.; English; British; Orchard Books; Vivian French; Library of Congress; Ursula Jones; Sarah Gibb; The Tiara Club; St. Martin's College; Diana Wynne Jones; Brighton College of Art,101
179,Tom Morello; Brad Wilk; Renegades; The Battle of Los Angeles; December 2000; Tim Commerford; The Ghost of Tom Joad; Year of tha Boomerang; No Shelter; Higher Learning; Zack de la Rocha; October 2000; Epic Records; Evil Empire; Bruce Springsteen; Los Angeles; California; American; Godzilla; Rage Against the Machine,133
180,"National Turkey Federation; Bush I; President of the United States; White House; Washington, D.C.; Thanksgiving Day; United States; EatTurkey.com; U.S. Congress; Harry Truman",75
181,"Ronald Reagan; Michael John "" Mike "" Padden; President Ford; $ 7.5 million; Presidential Elector; District Court; Washington; January 1981; Spokane County District Court; Spokane Valley; faithless elector; June 13, 2006; Gerald Ford; Democrat; Washington Senate; Washington State Senate; Georgia Governor; November 2011; November 13, 1946; Republican; Jimmy Carter",159
182,M2 (East-West); 1966-; 1952-; Ferenc Puskás Stadium; Budapest Metro; Ferenc Puskás; Fehérvár; Videoton Football Club; Budapest; 1844 - 1893; Hungary; Tivadar Puskás (politician); 1903-1952; 1927 - 2006; FIFA Puskás Award; 1993-; Puskás; Ferenc Puskás I; Puskás Ferenc Stadion; Lajos Puskás; Zoltán Puskás; Tivadar Puskás; Puskás Cup; Imre Puskás; Puskás Akadémia FC; 1944-,183
183,Facundo Newbery; Christophe Aguirre Schwarz; France; André; Auguste Rodin; Copenhagen; The Absinthe Drinker; The Thinker; Saverne; Zeus; Édouard Manet; Denmark; Zevs; Paris; 17 November 1977; Ny Carlsberg Glyptotek; Invader,98
184,July 1943; US Army; Hawaiian Division; Bruce Highway; Camp Wallaroo; Camp Caves; Camp Yeppoon; September 1943; Camp Nerimbera; Camp Keppel Sands; Camp Thompson s Point; The Caves; Rockhampton; 24th Infantry Division; Queensland; Australia; November 1942; March 1944; World War Two,107
185,Miguel Trovoada; Independent Democratic Action; Patrice Trovoada; 3 March 2002; May 2008; February 2008; So Tom and Prncipe; June; Supreme Tribunal of Justice; U Kdadji alliance; MLSTP / PSD; Fradique de Menezes; 29 July 2001,123
186,"416,000; YouTube phenomenon; Shellback; Red; Max Martin; October 9, 2012; RIAA; Taylor Swift; Big Machine Records; United States; 5 million; November 27, 2012; I Knew You Were Trouble; January 2013; Billboard Hot 100; YouTube Music Awards; Locked Out of Heaven; Bruno Mars",111
187,Nullabor; Western Australia; Ceduna; Ekman transport; blue whales; Victoria; GSACUS; November; Tasmania; May; Portland; Great Australian Bight; South Australia,78
188,GameCube; X-Men Legends; X-Men; PlayStation 2; Brotherhood of Mutants; N-Gage; PlayStation 2's Greatest Hits; Xbox; September 2005; Apocalypse; Blur Studio; Activision; Raven Software; Microsoft Windows; PlayStation Portable,92
189,23 May 1996; Premier League; SC Freiburg; Leicester City; Altnordu S.K.; Bundesliga; Turkey; TFF First League; Turkish; İzmir; Turkish national team; Sait Altnordu,81
190,Ortalis; Mexico; cracids; Oligocene; 4020 mya; United States; plain chachalaca; Greek; guans; Texas; curassows; O. vetula; nuclear DNA; Mitochondrial; Chachalacas; Central and South America,78
191,"William James Wallace; 74; Syracuse University; Hamilton College; Evarts Act; April 14, 1837; United States; President Ulysses S. Grant; President Chester A. Arthur; Syracuse; New York; March 11, 1917",127
192,2008-2009; Münster; Germany; commercial contracts; 1999-2003; Horst Eidenmüller; Munich; Harvard; University of Oxford; alternative dispute resolution; LLM 1989; company law; 2009-2014; St. Hugh s; Oxford; Cambridge; 2003-2015; Stanford; NYU; 23 October 1963; Faculty of Law; insolvency law; Tulane,214
193,13th-century; Armenia; Geghard Monastery; Havuts Tar; Goght; 17th or 18th century; Azat River; Kotayk Province; Garni; 11th- to 13th-century; Garni Gorge,71
194,Act of Union; Stockholm; 4 November 1815; Swedish constitution; Convention of Moss; Riksdag; Storting; Norwegian constitution; Sweden; 31 July 1815; Peder Anker; Riksakten; Swedish Riksdag; Norway; 6 August; 15 August,95
195,"20 May 2015; Eurasian Economic Union; Mongolia; Caucasus; Nursultan Nazarbayev; Constitutional Law; Middle East; top 30 developed countries; Central Asia; 7 December 2015; July 5, 2018; Europe; EAEU; Astana; Western China; Kazakhstan",130
196,"Vice-President Joe Biden; Amos J. Hochstein; Secretaries of State Clinton; Barack Obama; Naftogaz; Tellurian; U.S. Congress; Kerry; State Department; U.S.; January 4, 1973; U.S.- India Business Council; President Barack Obama; March 2017; Atlantic Council; Houston",139
197,Aniceto Arce; Province of Potos; Eliodoro Camacho; Livilivi; President of Bolivia; 19th century; Bolivia; 4 July 1823; 20 August 1899; Gregorio Pacheco Leyes,72
198,ARIA; The Tragically Hip; Paul Langlois; May 2008; Bob Dylan; Nick Drake; Australian; Peter Kenneth Murray; See The Sun; November 2013; Feeler; Rob Baker; Summer At Eureka; Neil Young; Canada; 14 October 1969,78
199,AMSL; Arizona; U.S.; Ponderosa Pine forest; Malpai Borderlands; Madrean; desert pavement; Malapai; U.S.- Mexico border; Chihuahuan deserts; Sonora; Mexican; New Mexico; Tobosa grassland; Chihuahua; Douglas Fir,91
200,"GPS; Marge; Fox network; Leary; John Frink; United States; Peru; Brian Grazer; Raymond S. Persi; October 5, 2008; The Simpsons; When You Dish Upon a Star; Bart; Denis Leary; Machu Picchu; twentieth season; Lost Verizon",87
201,African Partisan; Germany; Malabo; 5 January 1938; Spain; President Teodoro Obiang; Evinayong; 12 November 2012; UNESCO; New President; Equatorial Guinean; Franco period; Free Equatorial Guinea; minister of Education; Spanish Guinea; Ro Muni; Madrid; Equatorial Guinea; Malabo (RGE); October 2007; French Republic; Barcelona; Leandro Mbomio Nsue Ed-Aguong; Bata,179
202,LEC billing; United States; Bell Canada; Telus; local exchange carrier; Bell System; Internet; local telephone company; Cramming; Canada,41
203,"Major League Baseball; October 3, 1954; age 55; Royals 14, White Sox 5; Joseph Daniel Gates; Chicago White Sox; Don Kessinger; Greg Pryor; 9th; Kansas City Royals; Gary SouthShore RailCats; March 28, 2010; Eduardo Rodriguez; Northern League; May 13, 1979",97
204,Rome; gold ring; Telestis; Palaestra; bulla; gold lunula; apotropaic amulet; evil eye; golden bulla; phallic amulets; Epidicus; lunula; Isidore of Seville; Plautus; Rudens,80
205,Haleakal National Park; Haleakal; Hawaii; United States; Schiedea haleakalensis; Haleakal schiedea; feral goats; Maui,54
206,c.1680; Madame de Graffigny; Lunville; Lorraine; Jeanne-Thrse; Philippe-Louis du Han; duchy of Lorraine; Grand Veneur; France; Regent of Lorraine; Nancy; Lopold's widow; War of the Austrian Succession; 7 May 1748; Granville Elliott; Du Han de Martigny; comte de Martigny; Duke Lopold I; conseiller d'tat; 30 October 1707; Dowager Duchess; Louis-Philippe; Chamberlain,195
207,Home Minister; Prime Minister; Teijin Incident; 1937 General Election; Kokumin Dōmei; Hideki Tōjō; Rikken Minseitō; Saitō Makoto; Kijūrō Shidehara; Fumimaro Konoe; Diet of Japan; Manchuria; Akira Kazami; Tōhōkai; 11 seats; Adachi Kenzō; Nakano Seigō; Shōwa Kenkyūkai; Imperial Japanese Army; Japan-Manchukuo; December 1932; June 1940,174
208,China; 27 February 1992; Punjab; TV; 7th rank; Femina Miss India World; SummerLabel; Vanya Mishra; Punjab Engineering College; Miss World 2012; Chandigarh; Indian; Beauty with a Purpose; Bollywood; August 2012; Miss Social Media; India; Android; Jalandhar,100
209,Maniwaki 18; First Nations; Algonquin; River Desert; Dsert and Gatineau Rivers; Town of Maniwaki; Kitigan Zibi; Outaouais region; Quebec; Algonquin Nation; Canada,79
210,"101.5 FM; Canadian; Alberta; 560 CKNL; June 20, 1962; British Columbia; Fort St. John; Bear; Edmonton; Fort Nelson; CKRX-FM; CFBR-FM; 101.5 The Bear; Bell Media; CKNL-FM; 560 AM; 970 AM; CKFU-FM",96
211,"president judge; Philadelphia; commissioner of railroads; September 7, 1824; Washington, D.C.; Pennsylvania; William Hepburn Armstrong; May 14, 1919; Princeton College; Delaware; Wilmington; U.S. House of Representatives; President Ulysses S. Grant; commissioner of Indian affairs; Republican; Williamsport; Forty-first Congress",162
212,Maryland; Joseph Israel; 4 September 1804; 15 January 1801; Lieutenant Richard Somers; Midshipman; Tripoli; USS Israel (DD-98); Annapolis; United States Navy; France; Jewish; Chesapeake; ketch Intrepid; Constitution; First Barbary War; United States Naval Academy; New York; Mediterranean; Barbary pirates; Quasi-War,118
213,U.S.; Ellerbusch Site; twentieth century; Angel Site; Indiana,23
214,Rastafari movement; The Lane; Kingston; Reggae; Bob Marley; Jamaican; Roger Mais; Brother Man; Jamaica; John Power,50
215,Montana; Canadian; Gulf of Mexico; Plentywood; Big Muddy Badlands; Saskatchewan; Milk River; Willow Bunch Lake; Big Muddy Creek; Redstone; Big Muddy Lake; U.S.; Fort Peck Indian Reservation; Missouri River; Big Beaver; Lewis and Clark Expedition; Canada; Poplar River; Sheridan County; Martha's River; Culbertson,118
216,"$ 200 million; August 3, 1994; Clear and Present Danger; Tom Clancy; Patriot Games; Vice Admiral James Greer; Phillip Noyce; Colombia; The Hunt for Red October; President; James Earl Jones; Jack Ryan; United States; Harrison Ford; American; CIA Acting Deputy Director",101
217,Norwegian State Railways; Norges Statsbaner; Osmund Ueland; NSB Gardermobanen; LOOC; NSB; Norwegian; Aker; 27 September 1947,108
218,"Iai; Romanian; 1851-1852; Alecu Russo; Amintiri; Chiinu; Piatra Teiului; March 17, 1819; Iai periodical Zimbrul; Mioria; Organic Statute administration; Stnca Corbului; Iaii i locuitorii lui n 1840; Studie Moldovan; February 5, 1859; Moldavian",113
219,"ninth through twelfth grades; FLOW; free lunch; Oakland; 10.2:1; reduced-cost lunch; Bergen County; Ramapo High School; February; Indian Hills High School; New York City; Franklin Lakes; FTE; Ramapo; 103.6 classroom teachers; United States; New Jersey; Indian Hills; Wyckoff; 17 students; 1,054 students; 1.6 %; 2015-16 school year",138
220,Fish and Wildlife Service; Tule Lake Isolation Center; 1940s; Tule Lake camp; Exclusion Zone; Tulelake; West Coast; Army; Civilian Conservation Corps; German; prisoners of war; United States; Japanese-American; Siskiyou County; World War II; California; Great Depression; 25 April 1946; Klamath Reclamation Project; US military; Italian; POWs,128
221,Stanislaw Nowakowski; Academy of Fine Arts; Vitebsk; Belarus; Polish; Tomasz Bohdanowicz-Dworzecki; Alexander Pomerantsev; Saint Petersburg; Riga Central Railway Station; April 1920; Alexander Lednicki; Russia; Moscow; 1897-1901; Russian Empire; Byzantine; Gothic,159
222,"New York Mercantile Exchange; Manhattan Island; New York Stock Exchange; FiDi; New York City; 17th century; New Amsterdam; NASDAQ; City of New York; Wall Street; New York Board of Trade; 43,000; Financial District; 61,000; 23,000; American Stock Exchange; Lower Manhattan; 2000 Census",110
223,The Jungle Book; Mowgli; Walt Disney; Christopher Walken; King Louie; Rudyard Kipling; CGI The Jungle Book; Louis Armstrong; orangutan; Louis Prima,61
