doc_key,processed_entities,output_tokens
149,20 Jan 2014; VOICES; 20 January 2014; Homeland Illumination; Maha Salo; GAStech; Kronos; 2020,37
150,ABILA; Silvia Marek; Jeroen; 20 June 2012; Elian Karel; Antaura Karel; Abila police; Protectors of Kronos; Elodis; Juliana Vann; Homeland Illumination; Petrus Gerhard; Elian; three years ago today; 19 June 2009; Kronos; POK; Henk Bodrogi,90
151,20 Jan 2014; VOICES; 20 January 2014; 1155; Homeland Illumination; Maha Salo; The fire department,34
152,Kronos federal police; Kronos; Tiskele Bend GAStech; The Weavers of our Homeland; 05 April 2005; Protectors of Kronos; This is Our Land; Homeland Illumination; Maha Salo; Songs of the Farmer; ELODIS; POK,62
153,"20 June 2011; Elian Karel; Abila City Coroner; Kronos; Juliana Vann; Elodis; Homeland Illumination; Elian; 1998; Abila Chief of Police; Abila Police Station; June 19th; Karel; GAStech; Michale Kraft; ABILA, Kronos; POK",78
154,89%; 1998 Wellness for All; Abila General Hospital; Kronos; Hyper Acidic Substrate Removal; HASR; Elodis; acetic anhydride; Homeland Illumination; lead; ethylene glycol; Minister of Health Nespola; Maha Salo; 31 May 2000; ELODIS; phenol,87
155,20 Jan 2014; VOICES; 20 January 2014; 1027; Homeland Illumination; Maha Salo,30
156,ABILA; President Kapelou; Abila capital building; Kronos; Kronos government; Protectors of Kronos; Elodis; Juliana Vann; Homeland Illumination; Petrus Gerhard; Tiskele River; Abila Police; 1998; No entities detected.; June 19th; Kronos; POK martyrs; 20 June 2013,85
157,"ELODIS, Kronos; 20 km; August 21; Wellness For All; Government of Kronos; Juliana Vann; Elodis; Homeland Illumination; Petrus Gerhard; Tiskele River; leukemia; benzene poisoning; Juliana; Tethys; GAStech; Kronos; 19 August 1998",77
158,ABILA; President; Elian Karel; Abila; Minister of Justice; Protectors of Kronos; Elodis; Michale Kraft; Homeland Illumination; Petrus Gerhard; Saturday; Karel; GAStech; Kronos; POK; 12 March 2009,80
159,Wellness for All; Abila General Hospital; Elodis Community Health Center; Kronos; 25 May 2002; HASR; Elodis; Homeland Illumination; 1998; Minister of Health Nespola; Maha Salo; Hyper Acidic Substrate Removal; ELODIS,76
160,20 Jan 2014; VOICES; 20 January 2014; Abila; Homeland Illumination; 1942; Maha Salo; GAStech; Kronos,40
161,ABILA; Mestache Vardshvna; Kronos; Elian Karel; Juliana Vann; Protectors of Kronos; Homeland Illumination; 1998; 2009; Maha Salo; Karel; 7 September 2012,78
162,the capital building; GAStech headquarters; VOICES; 20 January 2014; Sten Sanjorge; Homeland Illumination; Ministers and Council members; last month; President Kapelou; Maha Salo; GAStech; today; healthcare,55
163,Ministry of Health; Kronos; Abila; Wellness For All; KRONOS; 15 May 1998; Elodis Weekly Journal; Reese; Homeland Illumination; Petrus Gerhard; Tiskele River; Pondo Reese; ELODIS; Part Three; Henk Bodrogi,71
164,20 Jan 2014; VOICES; 20 January 2014; CEO Sanjorge; Homeland Illumination; Petrus Gerhard; Illumination; Maha Salo; capitol building,43
165,ABILA; Silvia Marek; Protectors of Kronos; Homeland Illumination; 9 April 2012; Maha Salo; Kronos; Elodis city park,39
166,VOICES; 20 January 2014; Homeland Illumination; Fire Captain Federigo Accardi; Maha Salo,26
167,ABILA; 14 November 1998; 1990s; 1997; Cesare Nespola; Protectors of Kronos; Elodis; Homeland Illumination; Maha Salo; Kronos; POK; Minister of Health; Henk Bodrogi,60
168,21 January 2014; VOICES; 21 Jan 2014; KRONOS; Homeland Illumination; Maha Salo; $20 million,32
169,VOICES; 20 January 2014; Homeland Illumination; Maha Salo; GAStech,23
170,1512; 20 Jan 2014; VOICES; 20 January 2014; Two police vehicles; Homeland Illumination; Maha Salo; GAStech,38
171,VOICES; 20 January 2014; 1430; Homeland Illumination; Petrus Gerhard; 1515; Abila airport; Maha Salo; GAStech,40
172,ABILA; President; Kraft; Elian Karel; Abila; Minister of Justice; Protectors of Kronos; Elodis; Michale Kraft; Homeland Illumination; Petrus Gerhard; Saturday; Karel; GAStech; Kronos; POK; 12 March 2009,82
173,ABILA; 1997; Protectors of Kronos (POK); Carmine Osvaldo; Juliana Vann; Elodis; Homeland Illumination; Maha Salo; Kronos; POK; 7 July 1999,77
174,20 Jan 2014; VOICES; 20 January 2014; bomb squad; Homeland Illumination; fire department; Maha Salo,32
175,20 Jan 2014; VOICES; 20 January 2014; Homeland Illumination; 1522; Maha Salo; GAStech,34
176,"Southeast Asia; Profits; town; Bodrodgi; Bodrogi; 1990; Tiskele River; next day; Joclyn Reynolds; toluene; selenium; Wellness for All; xylene arsenic; Sanjorge; KRONOS; Elodis; Petrus Gerhard; lead; Reynolds; city officers; draught; 200 years; equipment; ELODIS; Hank Fluss; benzene; natural disasters; May 15, 1998; water specialist; Ferro Hardware store; home; Homeland Illumination; Pondo Reese; gas company; Sten Sanjorge, Jr.; worship days; tractor; GAStech; Kronos; Henk Bodrogi; acreage; representative; Wellness For All; oil and gas development; crops; truck; Mr. Henk Bodrogi; water; 25 April 1998",202
177,1356; 20 Jan 2014; VOICES; 20 January 2014; Homeland Illumination; Maha Salo; GAStech-Tethys; GAStech,41
178,20 Jan 2014; VOICES; 20 January 2014; Firemen; Homeland Illumination; Maha Salo; GAStech,33
179,21 January 2014; VOICES; 21 Jan 2014; Sten Sanjorge; Homeland Illumination; Abila airport; Tethys; Maha Salo; GAStech,44
180,20 Jan 2014; VOICES; 20 January 2014; Homeland Illumination; fire department; Maha Salo,29
181,20 Jan 2014; VOICES; 20 January 2014; 1937; Kronos police; Homeland Illumination; Maha Salo; Kronos,37
182,21 January 2014; VOICES; 21 Jan 2014; Homeland Illumination; Petrus Gerhard; Maha Salo,31
183,21 January 2014; VOICES; Abila; Homeland Illumination; 0911; Maha Salo; GAStech,30
184,20 Jan 2014; VOICES; 20 January 2014; Airport; Homeland Illumination; 1807; Maha Salo; GAStech,36
185,20 Jan 2014; VOICES; 20 January 2014; VIPs; Homeland Illumination; Maha Salo; 1538,33
186,1232; VOICES; 20 January 2014; Homeland Illumination; Maha Salo; GAStech; Kronos,30
187,20 Jan 2014; VOICES; 20 January 2014; 1247; Homeland Illumination; two police squad cars; Maha Salo,35
188,benzene; Wellness for All; Elodis Community Health Center; Kronos; 15 May 1998; Elodis; acetic anhydride; Homeland Illumination; Petrus Gerhard; 1998; chlorine dioxide; arsenic; ELODIS,67
189,Charley Normand; Protectors of Kronos; Tiskele River; 31 August 2001; Elodis; Kronos police; Petrus Gerhard; ELODIS; Abila; five activists; Government of Kronos; Tiskele Bend fields; government cars; Homeland Illumination; GAStech; Kronos; POK; three parties; Elodis jail; Juliana; Griffith Mabel; Mabel,109
190,20 Jan 2014; VOICES; 20 January 2014; Sanjorge; Homeland Illumination; Gerhard; Maha Salo,33
191,ABILA; President; Kronosians; 14; Homeland Illumination; Petrus Gerhard; President Luis Araullo; 2 February 1993; Kronos,42
192,Elodis police; 20 March 2007; Kronos; Adian Koppolis; Valeria; Carmine; Abila; Elodis city jail; Commissioner Koppolis; Homeland Illumination; Marcellus Edris; GASTECH; Maha Salo; GAStech; ELODIS; Celia; Elodis Primary School,77
193,"1961; Sten Sanjorge Sr; Reese; Tiskele River; Sanjorge Sr; Elodis; Petrus Gerhard; '94; Tethys; Hank Fluss; Sten Sanjorge Jr; April 25, 1998; Elodis Weekly Journal; Homeland Illumination; Pondo Reese; Tiskele Bend; People of Kronos; GAStech; Kronos; Henk Bodrogi; Mt. Bouro; Osvaldo hardware store; GAStech International; 19 March 1998",146
194,20 Jan 2014; VOICES; 20 January 2014; Sanjorge; Homeland Illumination; Gerhard; Maha Salo; GAStech,37
195,20 Jan 2014; 1410; VOICES; 20 January 2014; Homeland Illumination; Maha Salo; GAStech,34
196,"Elian Karel; Protectors of Kronos; March; Elodis; Petrus Gerhard; 19 June 2009; Abila City Prison; ABILA, Kronos; March 12; President's office; Juliana Vann; Homeland Illumination; 1998; GAStech; Michale Kraft; POK; Tethyn; Kriste Brontes; Minister of Justice; Karel; Chief of Police",105
197,20 Jan 2014; VOICES; 20 January 2014; 1621; police; second floor; Homeland Illumination; Maha Salo,35
198,Wellness for All; Elodis Community Health Center; Kronos; Homeland Illumination; Petrus Gerhard; 1998; Elodis municipal website; ELODIS; 29 May 2004,56
199,21 January 2014; VOICES; Police; 10:15; 21 Jan 2014; Homeland Illumination; Tethys; Maha Salo; GAStech-Kronos; GAStech; Abila Police,52
200,Ten-year; Abila City park; Elian Karel; 1993; POK campaign; 20-year; ABILA; 1997; Jon L.; Petrus Gerhard; President's office; Juliana Vann; Homeland Illumination; Remember Juliana; 1998; 7 March 2009; GAStech; Kronos; POK; Henk Bodrogi; Abila General Hospital; President Araullo; Saturday; Karel; Kronos government,121
201,20 Jan 2014; VOICES; 20 January 2014; Homeland Illumination; Petrus Gerhard; Tethys; Maha Salo; Abila Police Headquarters,40
202,ABILA; Elian Karel; Kronos; Abila City Coroner; Protectors of Kronos; Homeland Illumination; Petrus Gerhard; Elian; July 2010; Juliana; Karel; 19 June 2010; POK,58
203,20 Jan 2014; 1840; VOICES; 20 January 2014; Homeland Illumination; Petrus Gerhard; Abila airport; Maha Salo,39
204,20 Jan 2014; VOICES; 20 January 2014; Homeland Illumination; Petrus Gerhard; Abila airport; 1802; Maha Salo,39
205,20 Jan 2014; VOICES; 20 January 2014; Homeland Illumination; 1837; Maha Salo; GAStech,34
206,20 Jan 2014; VOICES; 20 January 2014; Homeland Illumination; Abila Airport; Maha Salo; 1744; GAStech,38
207,ABILA; Tiskele Bend Fields; 2001/08/31; Protectors of Kronos; Drilling Poisoned Our Water; Juliana Vann; Remember Juliana; 1998; Adrien Carman; GAStech; Kronos; POK; International News,63
208,"1993/01/19; ABILA; billions of dollars; 20 years; President Araullo; Parliament; Government; Foreign Investment; 5,000; Tiskele Bend; Ministry of the Interior; Kronos; International News",50
209,ABILA; Abila police; 2014/01/21; Adrien Carman; GAStech; Kronos; POK; International News,40
210,"Tethyn federal law enforcement; Abila; Protectors of Kronos; Edvard Vann; ABILA, Kronos; 2014/01/20; GAStech; POK; International News",52
211,Police; 2013/12/16; Abila; Adrien Carmen; Kronos; POK; International News,25
212,"last year; Police; Elian Karel; Juliana Vann; International News; government security forces; Capitol; ABILA, Kronos; 2013/06/20; POK",40
213,"Tiskele Bend Fields; POK protesters; Police; Tiskele Bend; 5:30 a.m.; 9 a.m.; 2005/04/06; ABILA, Kronos; International News; POK",48
214,ABILA; Ingrid Barranco; President Kapelou; Capitol Building; Abila General Hospital; Willem Vasco-Pais; Sten Sanjorge Jr.; Orhan Strum; Ada Campo-Corrente; GAStech; Rufus Drymiau; 20th year; Tethys; The Star; 2014/01/19; Kronos; International News,81
215,ABILA; 1995/10/11; Sanjorge; President Sten Sanjorge Jr.; Kronos; Minister Sarto; International News,42
216,"Rufus Drymiau; 2011/07/28; ABILA, Kronos; International News; POK",25
217,"Abila General Hospital; Araullo; 1995/11/21; 1930; Torsten Trucco; ABILA, Kronos; International News",34
218,"rural health projects; taxes; health education; foreign investment.; health care; 2001/03/18; clean water projects; oil and gas development; rural areas; International News; energy sector; President Kapelou; ABILA, Kronos; General Assembly",64
219,ABILA; Capitol Building; Abila; Sten Sanjorge Jr.; Sanjorge; 2014/01/21; GAStech HQ; Centrum; Tethys; President Kapelou; GAStech; Kronos; International News,54
220,ABILA; 2009/02/18; Protectors of Kronos; Government; Adrien Carman; Rufus Drymiau; GAStech; Kronos; POK; International News,54
221,ABILA; Kapelou; 2012/06/22; Elodis; Kronos; POK; International News,27
222,"Police; Elian Karel; Abila; Protectors of Kronos; Juliana Vann; 2010/06/21; Marek; ABILA, Kronos; POK; last summer; International News; Abila Police Headquarters",58
223,"Tiskele Bend Gas Fields; Tiskele Bend; Ministry of Interior; 1996/03/14; GAStech; ABILA, Kronos; Minister Sarto; International News",40
224,ABILA; health education; Oil; health care; clean water projects; Last year; Abila; Gas Development; Minister Nespola; 1999/07/04; Kronos; International News,51
225,ABILA; 2009/03/12; Elian Karel; Protectors of Kronos; Michale Kraft; Karel; Kronos; International News,34
226,ABILA; presidential manor; 2012/06/20; capitol building; Kronos; POK; International News,27
227,"Mediterranean; Black Sea; International Times; 22 February 2013; Kronosian regions; Kronosian government; Sten Sanjorge, Jr; Europe; Tethys; Gastech; GAStech; Kronos; GAStech TV station",60
228,CFO Ingrid Barranco; 21 January 2014; GASTech; Protectors of Kronos; COO Orhan Strum; GAStech President; International Times; GASTech headquarters; APA; Tethys; $20 Million; John Rathburn; The Times; Abila; CEO Sten Sanjorge Jr; Kronos; POK; CIO Ada Campo-Corrente; Asterian People's Army,127
229,K2bn; K17; .83m barrels; International Times; K3.5bn; Government; 2012; 2011-12; Ministry; North America; Jecovic; 20 February 2012; 12 months; Norway; Kronos Treasury; GAStech; Oil and Gas Kronos; Kronos; Jules Jecovic; 8%; K30; 27%,90
230,International Times; Elian Karel; Abila; Wednesday; Sten Sanjorge Jr.; GASTech; Protectors of Kronos; Juliana Vann; 1998; Kronosian government; 22 June 2009; Karel; GAStech; Kronos; POK; May,75
231,International Times; gangs of criminals; Police; 20 June 2012; Abila; Tuesday; Elian Karel; presidential homestead; Protectors of Kronos; Juliana Vann; Government; government buildings; security forces; GAStech international; Kronos; POK,67
232,"Interpol; ""cotton candy""; International Times; 21 October 2013; APA; Times; Tethys; Arise; Asteria; Senior Inspector Robert Loblaw; ""spice dreams""; Senior Inspector Loblaw; ""Tulip Blossom""; Tethys Counterdrug Team; Loblaw; Asterian People's Army; MDMC; port officials",99
233,International Times; 4 October 1982; GASTech; Sten Sanjorge; 2 October; Leadership; Times,27
234,"100,000; 2500; Kosovo; this year; Aid agencies; September; Wellness for All; International Times; central Taiwan; Jim Cordon; 15 million; two; Dr. Mahmed; Malaysia; Richter scale; FoodSupport; Izmit, Turkey; Tuesday; 20,000; 7.3; Dr. Jayala Mahmed; Emergency Teams; CARING Singapore; Thirteen; Turkey; 14 November 1999",119
235,International Times; Abila; Kronosian; 12 November 2013; Abilia; Protectors of Kronos; Dorel Kapelou II; GAStech International; Times; Tethys; GAStech; Kronos; Shawn Pastorini; Terek Kamal,74
236,Wellness for All; International Times; Mr. Drymiau; Kronos; Abila; 1997; Kronosian; Protectors of Kronos; 1998; Times; Rufus Drymiau; Juliana; Tethys; 22 February 2009; POK; 1998 anti-terrorism treaty,87
237,9AM (KDT); International Times; Adian Koppolis; Elodis; Abila Children's Hospital; GAStech; Kronos; 18 March 2007; Calistermi Road,44
238,North Sea; Daily Record; Sten Sanjorge; Glasgow; 2 October 1982; Centrum; 1970s; International Times; Sanjorge; Scotland; Tethys; Hank Fluss; Thethys; 1974; Sanjorge Gas company; Tethan Gas Industry; GAStech; Sten Jr.; 1960s; Tethan government,127
239,February 4; carnival treat; The Asterian People's Army; Ralf Potter; Abila Hospitals; Alicia Bianca; Biance; International Times; Elodis; Designer drugs; Emergency Department; Kronos National Poison Center; national poison center; cotton candy; 20 years; 7 February 2013; Abila; Abila Fire Department; Spice Dreams; Bianca; cocaine; seven years; synthetic marijuana; Sgt Antonio Arresta; Kronos; Abila General Hospital; herbal therapy; khat; Abila General; Tulip Blossom; Cotton Candy; K18; K166; 54-year-old,152
240,"West; Tethys University; Professor Oskar Wertz; Kronos government; 3 May 1984; local councils; International Times; 100 trillion cubic feet; 20, 30 or 40 years; Sanjorge; next 10 years; hyper-acidic substrate removal; Times; Europe; SanJorge; communities; Shale gas; European; fossil fuel resources; Sten Sanjorge, Jr.; GAStech; Kronos; Mediterranean Sea; marine environments; offshore shale gas; landholders",135
241,"Annual POK Rally; Elian Karel; protestors; three officers; President Dorel Kapelou; Marcella Trapani; rubber bullets; Tethys; ABILA, Kronos; water cannons; Juliana Vann; GAStech; police vehicles; 20 June 2013; POK; tear gas; pepper spray; Kronos Star; Capitol; police forces",83
242,Cato Rossini; 20 January 2014; 12:20 PM; Abila police; Marcella Trapani; GAStech Headquarters Building; Kronos Star; GAStech,43
243,"President Kapelou; Elian Karel; Abila; Protectors of Kronos; Marcella Trapani; Elodis; 18 February 2009; Rufus Drymiau; ABILA, Kronos; Kronos Star; GAStech; POK; Adrien Carman",77
244,Capitol Building; 19 January 2014; 20th year; President Kapelou; The Star; ABILA; Tethys; Ingrid Barranco; Willem Vasco-Pais; Sten Sanjorge Jr.; Orhan Strum; Tiskele Bend; GAStech; Kronos; Abila General Hospital; Ada Campo-Corrente; Rufus Drymiau; Kronos Star; GAStech International,92
245,"Abila; Marcella Trapani; 15 December 2013; ABILA, Kronos; Kronos Star; Adrien Carmen; POK",34
246,"President Kapelou; rural health projects; Assembly; gas and oil taxes; Kronos Star; 17 March 2001; Eva Thayer; later this year; ABILA, Kronos; General Assembly",54
247,"Tiskele Bend Fields; Carmine Gurganus; Drilling Poisoned Our Water; Protectors of Kronos; Marcella Trapani; Juliana Vann; Government; Remember Juliana; 1998; 30 August 2001; Kronos Star; GAStech; Kronos; ABILA, Kronos; Adrien Carman; POK",84
248,"Siopa District; Abila; Protectors of Kronos; Marcella Trapani; ABILA, Kronos; Kronos Star; 20 June 2011; POK",40
249,Cato Rossini; 20 January 2014; Marcella Trapani; 6:40 PM; GAStech Headquarters Building; Tethys; Kronos Star; GAStech,43
250,Cato Rossini; 20 January 2014; Marcella Trapani; GAStech Headquarters Building; Kronos Star; 2:00 PM,35
251,Cato Rossini; 20 January 2014; 5:50 PM; Marcella Trapani; GAStech Headquarters Building; Kronos Star; capitol building; GAStech,43
252,"President Kapelou; Bachelor's of Science; Tethys Central University; Ministry of Health; Araullo; 1995; Master's of Science; 2000; Vincent Kapelou; 14 June 2001; Eva Thayer; Kronos Star; ABILA, Kronos",71
253,Cato Rossini; 20 January 2014; GAStech executive jet; 6:30 PM; Marcella Trapani; GAStech Headquarters Building; Kronos Star; GAStech,45
254,Cato Rossini; 20 January 2014; Marcella Trapani; GAStech Headquarters Building; 3:20 PM; Kronos Star; GAStech,39
255,Cato Rossini; 20 January 2014; Marcella Trapani; GAStech Headquarters Building; Kronos Star; GAStech; 8:15 PM,39
256,Cato Rossini; 20 January 2014; Abila; Marcella Trapani; 7:30 pm; GAStech Headquarters Building; Kronos Star; 7:15 PM,44
257,Cato Rossini; 20 January 2014; Protectors of Kronos; Marcella Trapani; GAStech Headquarters Building; Kronos Star; 5:30 PM; GAStech; POK,48
258,"Abila General Hospital; 20 June 2012; police; Marcella Trapani; the presidential manor; the capitol building; Several protestors; Kronos Star; ABILA, Kronos; POK",46
259,"Cato Rossini; 20 January 2014; Marcella Trapani; 5:10 PM; GAStech Headquarters Building; ""people in black""; Kronos Star; GAStech",45
260,Cato Rossini; 20 January 2014; Fire department; Marcella Trapani; GAStech Headquarters Building; Kronos Star; GAStech; 11:45 AM,42
261,"Marcella Trapani; Andreas; President Kaeplou; 7 March 2012; Vincent Kapelou; Kronos Star; Cesare Nespola; ABILA, Kronos; Minister of Health; 2001; POK",54
262,"ABILA; foreign ""experts""; foreign companies; Lelio Masin; President Araullo; Abila; our modernization; our government; foreigners; 18 January 1998; our country; Kronos Star; Kronos",50
263,Cato Rossini; 20 January 2014; Marcella Trapani; GAStech Headquarters Building; Kronos Star; 3:40 PM; GAStech,39
264,Cato Rossini; 20 January 2014; Marcella Trapani; GAStech Headquarters Building; Mr. Strum; Kronos Star; 1:50 PM; GAStech,44
265,Cato Rossini; 20 January 2014; 12:40 PM; Marcella Trapani; GAStech Headquarters Building; Kronos Star; GAStech,39
266,"Tiskele Bend Gas Fields; Kronos; President Araullo; 13 March 1996; Mr. President; Ministry of Interior; Kronos Star; GAStech; Donato Petri; ABILA, Kronos; Minister Sarto",51
267,"Abila General Hospital; trauma and burn care units; Araullo; emergency services area; 21 November 1995; Abila General; 1930; Kronos Star; Torsten Trucco; psychiatric care wing; new hospital; ABILA, Kronos",66
268,Cato Rossini; 20 January 2014; Willem Vasco-Pais; Marcella Trapani; GAStech Headquarters Building; Kronos Star; 1:40 PM,49
269,Cato Rossini; 20 January 2014; Sten Sanjorge Jr.; Abila International Airport; Marcella Trapani; GAStech Headquarters Building; Tethys; Kronos Star; GAStech; 6:10 PM,55
270,"Tethyn federal law enforcement; 20 January 2014; Centrum, Tethys; Abila; Protectors of Kronos; Marcella Trapani; Edvard Vann; ABILA, Kronos; Kronos Star; GAStech; Kronos; POK",70
271,Ingrid Barranco; Cato Rossini; 20 January 2014; GSAtech; Marcella Trapani; GAStech Headquarters Building; Kronos Star; 1:35 PM; Ms. Barranco,49
272,"President Kapelou; 21 January 2014; Capitol Building; Centrum, Tethys; Abila; Sten Sanjorge Jr.; 20th year; Kronos Star; Eva Thayer; GAStech; ABILA, Kronos",69
273,ABILA; health education; Abila General Hospital; Oil; Kronos; health care; clean water projects; Gas Development; rural areas; Minister Nespola; 3 July 1999; Kronos Star; Donato Petri; Health Cesare Nespola,57
274,Cato Rossini; 20 January 2014; 3:05 PM; Marcella Trapani; GAStech Headquarters Building; Kronos Star,35
275,"Silvia Marek; Abila General Hospital; Police; Elian Karel; 20 June 2010; Abila police; Protectors of Kronos; Marcella Trapani; Juliana Vann; Adrien Carman; Kronos Star; ABILA, Kronos; POK",80
276,Cato Rossini; 20 January 2014; Marcella Trapani; 4:25 PM; GAStech Headquarters Building; Kronos Star; GAStech;,40
277,Cato Rossini; 20 January 2014; Marcella Trapani; Ada Campo-Corrente; GAStech Headquarters Building; Kronos Star; 1:30 PM,48
278,ABILA; Lelio Masin; Kronos; Sanjorge; GAStech international; President Sten Sanjorge Jr.; GAStech-Kronos; Kronos Star; Minister Sarto; 10 October 1995,61
279,Cato Rossini; 20 January 2014; Abila Fire; Marcella Trapani; 11:55 PM; GAStech Headquarters Building; Kronos Star; Federigo Accardi; GAStech,48
280,"Kapelou; Elodis; ABILA, Kronos; Kronos Star; Eva Thayer; 21 June 2012; POK",32
281,"President Kapelou; 27 July 2011; Rufus Drymiau; ABILA, Kronos; Kronos Star; Eva Thayer; POK",35
282,Ingrid Barranco; Cato Rossini; 20 January 2014; Sten Sanjorge Jr.; Willem Vasco-Pais; Marcella Trapani; Orhan Strum; Ada Campo-Corrente; capitol; GAStech Headquarters Building; 12:25 PM; Kronos Star; GAStech,72
283,President Kapelou; Cato Rossini; 20 January 2014; Government; Marcella Trapani; GAStech Headquarters Building; Rufus Drymiau; 8:00 PM; Kronos Star,48
284,20 June 2009; President Kapelou; Elian Karel; Abila; Protectors of Kronos; Marcella Trapani; The Protectors of Kronos; Siopa; Kronos Star; Kronos; POK,52
285,"Dr. Ronald Gerard; Abila General Hospital; Ministry of Health; Nespola's office; Kronos; Lelio Masin; Elodis; Tiskele Bend; Tethys; 9 November 1998; Cesare Nespola; Kronos Star; ABILA, Kronos",65
286,Cato Rossini; 20 January 2014; Marcella Trapani; 10:00 PM; GAStech Headquarters Building; Tethys; Kronos Star; Kronos,50
287,ABILA; Tomas Sarto; Kronosians; 18 January 1993; President Araullo; Parliament; energy development companies; Minister of the Interior; Tiskele Bend; Kronos Star; Ministry of the Interior; Kronos; Donato Petri,55
288,"President Araullo; Sten Sanjorge Jr.; Tiskele Bend; Tethys; Kronos Star; 12 March 1993; Ministry of Interior; Donato Petri; ABILA, Kronos; GAStech International",51
289,Vann; Cato Rossini; 20 January 2014; Marcella Trapani; GAStech Headquarters Building; Kronos Star; POK,35
290,7:45 PM; Cato Rossini; 20 January 2014; Carman; Marcella Trapani; GAStech Headquarters Building; Kronos Star; GAStech,42
291,Capitol Building; Cato Rossini; 20 January 2014; Abila; Marcella Trapani; 10:15 AM; GAStech Headquarters Building; Kronos Star; GAStech,58
292,"21 January 2014; Abila police; Marcella Trapani; Kronos Star; GAStech; ABILA, Kronos; Adrien Carman; POK",48
293,Cato Rossini; 20 January 2014; Marcella Trapani; GAStech Headquarters Building; Kronos Star; 10:30 AM; Abila fire department,40
294,Cato Rossini; 20 January 2014; 10:50 AM; Marcella Trapani; GAStech Headquarters Building; Kronos Star; GAStech,39
295,Cato Rossini; 20 January 2014; Abila; Marcella Trapani; Edvard Vann; GAStech Headquarters Building; 7:00 PM; Kronos Star; GAStech; POK,50
296,Cato Rossini; 20 January 2014; 10:20 AM; Marcella Trapani; GAStech Headquarters Building; Kronos Star; GAStech,39
297,GasTech; Cato Rossini; 20 January 2014; Abila; Marcella Trapani; GAStech Headquarters Building; 7:35 PM; Kronos Star; Adrien Carman,46
298,"6 April 2005; Tiskele Bend Fields; Police; Assembly; government; Marcella Trapani; Tiskele Bend; Rufus Drymiau; 5:30 a.m.; Kronos Star; 9 a.m.; ABILA, Kronos; POK",65
299,Cato Rossini; 20 January 2014; GSAtech; 1:25 PM; Marcella Trapani; Orhan Strum; GAStech Headquarters Building; Mr. Strum; Kronos Star; GAStech,53
300,"Elian Karel; Kronos; Protectors of Kronos; Marcella Trapani; Kronos Star; Karel; Michale Kraft; ABILA, Kronos; Adrien Carman; 12 March 2009",54
301,Cato Rossini; 20 January 2014; 7:40 PM; Carman; Marcella Trapani; GAStech Headquarters Building; Kronos Star; Kronos,41
302,Cato Rossini; 20 January 2014; Police; Marcella Trapani; GAStech Headquarters Building; Kronos Star; GAStech; 1:00 PM,41
303,21 January 2014; ON SCENE BLOG; Modern Rubicon; GAStech; Kronos; POK; $20 million,30
304,ON SCENE BLOG; 20 January 2014; Abila; Modern Rubicon; Morgue,22
305,"21 January 2014; ON SCENE BLOG; CEO; Modern Rubicon; Sten Sanjorge, Jr.; Tethys; GAStech",34
306,ON SCENE BLOG; 20 January 2014; Modern Rubicon; GAStech; Kronos,23
307,ON SCENE BLOG; 20 January 2014; Modern Rubicon; AFD; GAStech; Kronos,26
308,ON SCENE BLOG; 20 January 2014; Modern Rubicon; 1506; GAStech,24
309,ON SCENE BLOG; 20 January 2014; 1947; Modern Rubicon; news conference; GAStech; police of Abila,32
310,21 January 2014; ON SCENE BLOG; Abila; DAY TWO; Modern Rubicon; 9:00; GAStech; police of Abila,36
311,ON SCENE BLOG; administrative assistant; 20 January 2014; Kronos; Modern Rubicon; GAStech; Tethys quarters,31
312,ON SCENE BLOG; 20 January 2014; Abila; 1220; Modern Rubicon; GAStech,27
313,ON SCENE BLOG; 20 January 2014; Abila; 1810; 15:20; Modern Rubicon; Rome; GAStech; Kronos,37
314,ON SCENE BLOG; 20 January 2014; Abila; fire signaler; Modern Rubicon; 1158; 11:45; AFD; GAStech,39
315,ON SCENE BLOG; 20 January 2014; Modern Rubicon; 2021; GAStech; Kronos,27
316,ON SCENE BLOG; 20 January 2014; 1915; Edvard Vann; Modern Rubicon; GAStech; Kronos; POK,35
317,ON SCENE BLOG; 20 January 2014; Modern Rubicon; GAStech; IPO,22
318,ON SCENE BLOG; 20 January 2014; Abila; Modern Rubicon; GAStech,23
319,20 January 2014; Abila; Modern Rubicon; GAStech; Kronos,20
320,"ON SCENE BLOG; 20 January 2014; Sanjorge; 1853; airport of Tethys; Modern Rubicon; Sten Sanjorge, Jr.; Tethys; GAStech; Kronos; PM of 2:00",56
321,"ON SCENE BLOG; 20 January 2014; Abila; 1748; Modern Rubicon; Rome, Italy",27
322,ON SCENE BLOG; 20 January 2014; Orhan Strum; Modern Rubicon; GAStech; Linda Lagos,28
323,"ON SCENE BLOG; 20 January 2014; Modern Rubicon; CEO Sanjorge, Jr.; GAStech",28
324,21 January 2014; ON SCENE BLOG; 10:00; Abila; Modern Rubicon; Tethys; GAStech; Kronos; 934,38
325,"ON SCENE BLOG; 20 January 2014; Abila; Modern Rubicon; Rome, Italy; GAStech",27
326,ON SCENE BLOG; 20 January 2014; Abila; the police of Abila; 1920; Modern Rubicon,29
327,ON SCENE BLOG; conference room; 20 January 2014; Unknown people; Modern Rubicon; black clothing; GAStech; Kronos,32
328,ON SCENE BLOG; 20 January 2014; 1405; Modern Rubicon; Inks; GAStech; Kronos,30
